Time;[110:2];[110:10];[112:28];[112:29]
10.01.2025 17:18:46.080000;0;0;411;1
10.01.2025 17:18:46.180000;0;0;411;1
10.01.2025 17:18:46.280000;0;0;411;1
10.01.2025 17:18:46.380000;0;0;411;1
10.01.2025 17:18:46.480000;0;0;411;1
10.01.2025 17:18:46.580000;0;0;411;1
10.01.2025 17:18:46.680000;0;0;411;1
10.01.2025 17:18:46.780000;0;0;411;1
10.01.2025 17:18:46.880000;0;0;411;1
10.01.2025 17:18:46.980000;0;0;411;1
10.01.2025 17:18:47.080000;0;0;411;1
10.01.2025 17:18:47.180000;0;0;411;1
10.01.2025 17:18:47.280000;0;0;411;1
10.01.2025 17:18:47.380000;0;0;411;1
10.01.2025 17:18:47.480000;0;0;411;1
10.01.2025 17:18:47.580000;0;0;411;1
10.01.2025 17:18:47.680000;0;0;411;1
10.01.2025 17:18:47.780000;0;0;411;1
10.01.2025 17:18:47.880000;0;0;411;1
10.01.2025 17:18:47.980000;0;0;411;1
10.01.2025 17:18:48.080000;0;0;411;1
10.01.2025 17:18:48.180000;0;0;411;1
10.01.2025 17:18:48.280000;0;0;411;1
10.01.2025 17:18:48.380000;0;0;411;1
10.01.2025 17:18:48.480000;0;0;411;1
10.01.2025 17:18:48.580000;0;0;411;1
10.01.2025 17:18:48.680000;0;0;411;1
10.01.2025 17:18:48.780000;0;0;411;1
10.01.2025 17:18:48.880000;0;0;411;1
10.01.2025 17:18:48.980000;0;0;411;1
10.01.2025 17:18:49.080000;0;0;411;1
10.01.2025 17:18:49.180000;0;0;411;1
10.01.2025 17:18:49.280000;0;0;411;1
10.01.2025 17:18:49.380000;0;0;411;1
10.01.2025 17:18:49.480000;0;0;411;1
10.01.2025 17:18:49.580000;0;0;411;1
10.01.2025 17:18:49.680000;0;0;411;1
10.01.2025 17:18:49.780000;0;0;411;1
10.01.2025 17:18:49.880000;0;0;411;1
10.01.2025 17:18:49.980000;0;0;411;1
10.01.2025 17:18:50.080000;0;0;411;1
10.01.2025 17:18:50.180000;0;0;411;1
10.01.2025 17:18:50.280000;0;0;411;1
10.01.2025 17:18:50.380000;0;0;411;1
10.01.2025 17:18:50.480000;0;0;411;1
10.01.2025 17:18:50.580000;0;0;411;1
10.01.2025 17:18:50.680000;0;0;411;1
10.01.2025 17:18:50.780000;0;0;411;1
10.01.2025 17:18:50.880000;0;0;411;1
10.01.2025 17:18:50.980000;0;0;411;1
10.01.2025 17:18:51.080000;0;0;411;1
10.01.2025 17:18:51.180000;0;0;411;1
10.01.2025 17:18:51.280000;0;0;411;1
10.01.2025 17:18:51.380000;0;0;411;1
10.01.2025 17:18:51.480000;0;0;411;1
10.01.2025 17:18:51.580000;0;0;411;1
10.01.2025 17:18:51.680000;0;0;411;1
10.01.2025 17:18:51.780000;0;0;411;1
10.01.2025 17:18:51.880000;0;0;411;1
10.01.2025 17:18:51.980000;0;0;411;1
10.01.2025 17:18:52.080000;0;0;411;1
10.01.2025 17:18:52.180000;0;0;411;1
10.01.2025 17:18:52.280000;0;0;411;1
10.01.2025 17:18:52.380000;0;0;411;1
10.01.2025 17:18:52.480000;0;0;411;1
10.01.2025 17:18:52.580000;0;0;411;1
10.01.2025 17:18:52.680000;0;0;411;1
10.01.2025 17:18:52.780000;0;0;411;1
10.01.2025 17:18:52.880000;0;0;411;1
