년월일,업무구분,공장구분,HEAT_NO,LOT_NO,PON,공정순위,주조구분,재료코드,강종그룹,강종코드,사내강종명,사내강종명(제강),구)사내강종명,강종,품목,형상,용도,표면,열처리,폭,외경,내경,수요가,수요가명,수주번호,수주행번,생산의뢰번호,강관소재여부,발생일자,발생구분,발생공정,발생공정명,발생수량,발생중량,원인공정,원인공정명,이상구분,이상코드,이상코드명,이상분류,이상구분,상태코드,조치코드,조치코드명,조치일자,원인공정_작업조,출탕완료일시,주조완료일시,검사완료일시,초말구분,CAST내_수,CAST내_순,STRAND_NO,STRAND_SEQ,지시GR_종류,생산GR_종류,생산GR공정,GR_일자,압연공정1,압연일자1,압연외경1,압연폭1,압연공정2,압연일자2,압연외경2,압연폭2,압연공정3,압연일자3,압연외경3,압연폭3,압연공정4,압연일자4,압연외경4,압연폭4,최종압연공정,최종압연일자,제품압연작업조,생성일시,HCR,투입중량,주설비구분
2024-04-29,2,9,S55761,B3A0481500,D24W3W1444,100,T,7730,SSH,SSH034,STS303FS8,STS303FS7,,STS303F,W,WR,DM,PK,SL,20,20,,S0808,TPLEX.CO.Ltd.,D2024030144,007,D24W03W1687,N,2024-04-29,3,9W91,산세,1,665,2T00,2제강,2,S22,터짐,제품불량,표면,4,RG,수동연마추가,2024-04-29,,2023-10-27,2023-10-27,2023-10-28,,3,3,1,9,A,A,8301,2024-04-21,8100,2024-04-22,20,0,,,0,0,,,0,0,,,0,0,8100,2024-04-22,B,2024-05-03,,,C
2024-04-29,2,9,S55761,B3A0481500,D24W3W1444,100,T,7730,SSH,SSH034,STS303FS8,STS303FS7,,STS303F,W,WR,DM,PK,SL,20,20,,S0808,TPLEX.CO.Ltd.,D2024030144,007,D24W03W1687,N,2024-04-29,3,9W91,산세,1,664,8T00,소형압연,2,S22,터짐,제품불량,표면,4,RG,수동연마추가,2024-04-29,,2023-10-27,2023-10-27,2023-10-28,,3,3,1,9,A,A,8301,2024-04-21,8100,2024-04-22,20,0,,,0,0,,,0,0,,,0,0,8100,2024-04-22,B,2024-05-03,,,C
2023-09-11,2,9,S54745,B360553802,D23W8W1198,120,T,7730,SSH,SSH034,STS303FS8,STS303FS8,,CSS303FS,W,WR,DM,PF,SL,26,26,,S1065,SEAH METAL CO. LTD,D2023080184,004,D23W08W0764,N,2023-09-11,3,9W91,산세,1,"1,208",2Z00,2제강,2,S11,종크랙,제품불량,표면,4,RG,수동연마추가,2023-09-11,,2023-06-26,2023-06-26,2023-06-27,,3,2,5,5,A,A,8301,2023-08-25,8100,2023-08-28,26,0,,,0,0,,,0,0,,,0,0,8100,2023-08-28,C,2023-10-05,,,C
2023-10-26,2,9,S55018,B370540802,D23WAW0353,90,T,7730,SSH,SSH034,STS303FS8,STS303FS8,,SUS303F,W,WR,DM,PK,SL,9.5,9.5,,20229,"DONG IL STEEL CO.,LTD.",D2023100108,008,D23W10W1067,N,2023-10-26,3,9W91,산세,1,692,2T00,2제강,2,S22,터짐,제품불량,표면,4,RG,수동연마추가,2023-10-26,,2023-07-20,2023-07-20,2023-07-23,,2,2,,,A,A,8301,2023-10-07,8100,2023-10-11,9.5,0,,,0,0,,,0,0,,,0,0,8100,2023-10-11,C,2023-11-02,,,W
2023-10-26,2,9,S55018,B370540802,D23WAW0353,90,T,7730,SSH,SSH034,STS303FS8,STS303FS8,,SUS303F,W,WR,DM,PK,SL,9.5,9.5,,20229,"DONG IL STEEL CO.,LTD.",D2023100108,008,D23W10W1067,N,2023-10-26,3,9W91,산세,1,692,8T00,소형압연,2,S22,터짐,제품불량,표면,4,RG,수동연마추가,2023-10-26,,2023-07-20,2023-07-20,2023-07-23,,2,2,,,A,A,8301,2023-10-07,8100,2023-10-11,9.5,0,,,0,0,,,0,0,,,0,0,8100,2023-10-11,C,2023-11-02,,,W
2023-02-01,2,9,S52718,B310137100,D22WCW1716,120,T,7730,SSH,SSH034,STS303FS8,STS303FS8,,CSS303FS,W,WR,DM,PF,SL,13.5,13.5,,S1065,SEAH METAL CO. LTD,D2022120224,008,D22W12W2176,N,2023-02-01,3,9W91,산세,1,697,2T00,2제강,2,S22,터짐,제품불량,표면,4,RG,수동연마추가,2023-02-01,,2023-01-02,2023-01-02,2023-01-04,,2,2,6,10,A,A,8301,2023-01-12,8100,2023-01-19,13.5,0,,,0,0,,,0,0,,,0,0,8100,2023-01-19,C,2023-03-03,,,W
2023-02-01,2,9,S52718,B310137100,D22WCW1716,120,T,7730,SSH,SSH034,STS303FS8,STS303FS8,,CSS303FS,W,WR,DM,PF,SL,13.5,13.5,,S1065,SEAH METAL CO. LTD,D2022120224,008,D22W12W2176,N,2023-02-01,3,9W91,산세,1,697,8T00,소형압연,2,S22,터짐,제품불량,표면,4,RG,수동연마추가,2023-02-01,,2023-01-02,2023-01-02,2023-01-04,,2,2,6,10,A,A,8301,2023-01-12,8100,2023-01-19,13.5,0,,,0,0,,,0,0,,,0,0,8100,2023-01-19,C,2023-03-03,,,W
2023-02-01,2,9,S52718,B310335400,D23W1W1192,120,T,7730,SSH,SSH034,STS303FS8,STS303FS8,,SUS303F,W,WR,DM,PF,SL,20,20,,S0556,"SeAH SPECIAL STEEL CO,. LTD.",D2023010133,010,D23W01W1040,N,2023-02-01,3,9W91,산세,1,685,2T00,2제강,2,S22,터짐,제품불량,표면,4,RG,수동연마추가,2023-02-01,,2023-01-02,2023-01-02,2023-01-04,,2,2,3,3,A,A,8301,2023-01-18,8100,2023-01-24,20,0,,,0,0,,,0,0,,,0,0,8100,2023-01-24,B,2023-03-03,,,C
2023-02-01,2,9,S52718,B310335400,D23W1W1192,120,T,7730,SSH,SSH034,STS303FS8,STS303FS8,,SUS303F,W,WR,DM,PF,SL,20,20,,S0556,"SeAH SPECIAL STEEL CO,. LTD.",D2023010133,010,D23W01W1040,N,2023-02-01,3,9W91,산세,1,685,8T00,소형압연,2,S22,터짐,제품불량,표면,4,RG,수동연마추가,2023-02-01,,2023-01-02,2023-01-02,2023-01-04,,2,2,3,3,A,A,8301,2023-01-18,8100,2023-01-24,20,0,,,0,0,,,0,0,,,0,0,8100,2023-01-24,B,2023-03-03,,,C
2023-02-01,2,9,S47024,B170708902,D23W1W0282,120,T,6830,SSH,SSH034,STS303FS8,STS303FS8,,SUS303F,W,WR,DM,PK,SL,11.5,11.5,,S0556,"SeAH SPECIAL STEEL CO,. LTD.",D2023010132,031,D23W01W0992,N,2023-02-01,3,9W91,산세,1,649,2T00,2제강,2,S22,터짐,제품불량,표면,4,RG,수동연마추가,2023-02-01,,2021-07-20,2021-07-20,2021-07-26,,4,3,,,A,A,8301,2021-08-16,8100,2023-01-17,11.5,0,,,0,0,,,0,0,,,0,0,8100,2023-01-17,C,2023-03-03,,,W
