년월,HEAT_NO,LOT_NO,공정코드,구분,공장명,주조구분,재료코드,강종그룹,강종코드,투입중량,생산중량,사내강종명,사내강종명(제강),구)사내강종명,품목,형상,용도,표면,열처리,외경,폭,내경,수요가명,수주번호,수주행번,압연공정1,압연일자1,압연외경1,압연폭1,압연공정2,압연일자2,압연외경2,압연폭2,압연공정3,압연일자3,압연외경3,압연폭3,압연공정4,압연일자4,압연외경4,압연폭4,최종압연공정,최종압연일자,발행구분,CAST내 수,CAST내 순,STRAND_NO,STRAND_SEQ,주조완료일,주여구분,지시GR종류,생산GR종류,생산GR공정,제강검사완료일,작업일,강관소재여부,주설비구분
202308,S54745,B360553701,9Y01,압연,산세,T,7730,SSH,SSH034,"1,599","1,254",STS303FS8,STS303FS8,,W,WR,DM,PK,SL,26,26,0,주식회사 티플랙스,D2023080148,011,8100,2023-08-28,26,0,,,0,0,,,0,0,,,0,0,8100,2023-08-28,1,3,2,,,2023-06-26,1,A,A,8301,2023-06-27,2023-10-04,N,C
202308,S54745,B360553901,9Y01,압연,산세,T,7730,SSH,SSH034,"1,609","1,329",STS303FS8,STS303FS8,,W,WR,DM,PF,SL,27,27,0,(주)세아메탈,D2023080186,009,8100,2023-08-28,27,0,,,0,0,,,0,0,,,0,0,8100,2023-08-28,1,3,2,,,2023-06-26,1,A,A,8301,2023-06-27,2023-10-04,N,C
202302,S52717,B310559703,9Y01,압연,산세,T,7730,SSH,SSH034,"1,607","1,444",STS303FS8,STS303FS8,,W,WR,DM,PK,SL,8.5,8.5,0,주식회사 티플랙스,D2023020108,003,8100,2023-02-16,8.5,0,,,0,0,,,0,0,,,0,0,8100,2023-02-16,1,2,1,,,2023-01-02,1,A,A,8301,2023-01-04,2023-02-20,N,W
202302,S52717,B310559702,9Y01,압연,산세,T,7730,SSH,SSH034,"1,603","1,427",STS303FS8,STS303FS8,,W,WR,DM,PK,SL,8.5,8.5,0,주식회사 티플랙스,D2023020108,003,8100,2023-02-16,8.5,0,,,0,0,,,0,0,,,0,0,8100,2023-02-16,1,2,1,,,2023-01-02,1,A,A,8301,2023-01-04,2023-02-20,N,W
202302,S52717,B310559701,9Y01,압연,산세,T,7730,SSH,SSH034,"1,590","1,422",STS303FS8,STS303FS8,,W,WR,DM,PK,SL,8.5,8.5,0,주식회사 티플랙스,D2023020108,003,8100,2023-02-16,8.5,0,,,0,0,,,0,0,,,0,0,8100,2023-02-16,1,2,1,,,2023-01-02,1,A,A,8301,2023-01-04,2023-02-20,N,W
202302,S52717,B310560100,9Y01,압연,산세,T,7730,SSH,SSH034,"3,064","1,429",STS303FS8,STS303FS8,,W,WR,DZ,PK,SL,9,9,0,고려특수선재 (주),D2023020326,001,8100,2023-02-16,9,0,,,0,0,,,0,0,,,0,0,8100,2023-02-16,1,2,1,,,2023-01-02,1,A,A,8301,2023-01-04,2023-02-20,N,W
202302,S52717,B310560102,9Y01,압연,산세,T,7730,SSH,SSH034,"1,669","1,419",STS303FS8,STS303FS8,,W,WR,DZ,PK,SL,9,9,0,고려특수선재 (주),D2023020326,001,8100,2023-02-16,9,0,,,0,0,,,0,0,,,0,0,8100,2023-02-16,1,2,1,,,2023-01-02,1,A,A,8301,2023-01-04,2023-02-20,N,W
202302,S52717,B310560000,9Y01,압연,산세,T,7730,SSH,SSH034,"1,596","1,424",STS303FS8,STS303FS8,,W,WR,DM,PK,SL,9,9,0,만호제강(주)창원공장,D2023020121,003,8100,2023-02-16,9,0,,,0,0,,,0,0,,,0,0,8100,2023-02-16,1,2,1,,,2023-01-02,1,A,A,8301,2023-01-04,2023-02-20,N,W
202302,S52717,B310560001,9Y01,압연,산세,T,7730,SSH,SSH034,"1,602","1,419",STS303FS8,STS303FS8,,W,WR,DM,PK,SL,9,9,0,만호제강(주)창원공장,D2023020121,003,8100,2023-02-16,9,0,,,0,0,,,0,0,,,0,0,8100,2023-02-16,1,2,1,,,2023-01-02,1,A,A,8301,2023-01-04,2023-02-20,N,W
202301,S47024,B170709302,9Y01,압연,산세,T,6830,SSH,SSH034,"1,570","1,359",STS303FS8,STS303FS8,,W,WR,DM,PK,SL,10.5,10.5,0,(주)세아특수강,D2023010132,030,8100,2023-01-14,10.5,0,,,0,0,,,0,0,,,0,0,8100,2023-01-14,1,4,3,,,2021-07-20,1,A,A,8301,2021-07-26,2023-02-01,N,W
202301,S47024,B170709303,9Y01,압연,산세,T,6830,SSH,SSH034,"1,581","1,370",STS303FS8,STS303FS8,,W,WR,DM,PK,SL,10.5,10.5,0,(주)세아특수강,D2023010132,030,8100,2023-01-14,10.5,0,,,0,0,,,0,0,,,0,0,8100,2023-01-14,1,4,3,,,2021-07-20,1,A,A,8301,2021-07-26,2023-02-01,N,W
202301,S47024,B170708900,9Y01,압연,산세,T,6830,SSH,SSH034,"1,656","1,269",STS303FS8,STS303FS8,,W,WR,DM,PK,SL,11.5,11.5,0,(주)세아특수강,D2023010132,031,8100,2023-01-17,11.5,0,,,0,0,,,0,0,,,0,0,8100,2023-01-17,1,4,3,,,2021-07-20,1,A,A,8301,2021-07-26,2023-02-04,N,W
