년월일,업무구분,공장구분,HEAT_NO,LOT_NO,PON,공정순위,주조구분,재료코드,강종그룹,강종코드,사내강종명,사내강종명(제강),구)사내강종명,강종,품목,형상,용도,표면,열처리,외경,폭,내경,수요가,수요가명,수주번호,수주행번,생산의뢰번호,강관소재여부,발생일자,발생구분,발생공정,발생공정명,발생수량,발생중량,원인공정,원인공정명,이상구분,이상코드,이상코드명,이상분류,이상구분,상태코드,조치코드,조치코드명,조치일자,원인공정_작업조,출탕완료일시,주조완료일시,검사완료일시,초말구분,CAST내_수,CAST내_순,STRAND_NO,STRAND_SEQ,지시GR_종류,생산GR_종류,생산GR공정,GR_일자,압연공정1,압연일자1,압연외경1,압연폭1,압연공정2,압연일자2,압연외경2,압연폭2,압연공정3,압연일자3,압연외경3,압연폭3,압연공정4,압연일자4,압연외경4,압연폭4,최종압연공정,최종압연일자,제품압연작업조,생성일시,HCR,투입중량,주설비구분
2023-09-22,2,9,S54805,B360593201,D23W9W1414,80,T,7730,SSM,SSM181,316LDSB,316LDSB,S316/316LD,316/316L,W,WR,DM,PK,SL,21,21,,S0808,TPLEX.CO.Ltd.,D2023090036,001,D23W09W0132,N,2023-09-22,3,9W91,산세,1,720,2T00,2제강,2,S22,터짐,제품불량,표면,4,RG,수동연마추가,2023-09-22,,2023-06-30,2023-06-30,2023-07-01,,3,3,5,11,A,A,8301,2023-09-14,8100,2023-09-21,21,0,,,0,0,,,0,0,,,0,0,8100,2023-09-21,B,2023-10-05,,,C
2023-09-22,2,9,S54805,B360593201,D23W9W1414,80,T,7730,SSM,SSM181,316LDSB,316LDSB,S316/316LD,316/316L,W,WR,DM,PK,SL,21,21,,S0808,TPLEX.CO.Ltd.,D2023090036,001,D23W09W0132,N,2023-09-22,3,9W91,산세,1,720,8T00,소형압연,2,S22,터짐,제품불량,표면,4,RG,수동연마추가,2023-09-22,,2023-06-30,2023-06-30,2023-07-01,,3,3,5,11,A,A,8301,2023-09-14,8100,2023-09-21,21,0,,,0,0,,,0,0,,,0,0,8100,2023-09-21,B,2023-10-05,,,C
2023-07-24,2,9,S54204,B350698202,D23W7W1114,90,T,7730,SSM,SSM181,316LDSB,316LDSB,S316/316LD,316/316L,W,WR,DM,PF,SL,32,32,,S1065,SEAH METAL CO. LTD,D2023080010,001,D23W07W1725,N,2023-07-24,3,9W91,산세,1,"1,289",2Z00,2제강,2,S11,종크랙,제품불량,표면,4,RG,수동연마추가,2023-07-24,,2023-05-01,2023-05-02,2023-05-02,,4,2,6,2,A,A,8301,2023-07-20,8100,2023-07-23,32,0,,,0,0,,,0,0,,,0,0,8100,2023-07-23,B,2023-08-07,,,C
2024-04-29,2,9,S57283,B440412302,D24W3W1469,80,T,7730,SSM,SSM181,316LDSB,316LDSB,S316/316LD,316/316L,W,WR,DM,PK,SL,33,33,,S0808,TPLEX.CO.Ltd.,D2024030154,012,D24W03W1625,N,2024-04-29,3,9W91,산세,1,"1,357",8100,소형압연,2,S20,SEAM+터짐,제품불량,표면,4,RG,수동연마추가,2024-04-29,C,2024-04-05,2024-04-05,2024-04-08,F,4,1,1,3,A,A,8301,2024-04-27,8100,2024-04-28,33,0,,,0,0,,,0,0,,,0,0,8100,2024-04-28,C,2024-05-03,,,C
2024-04-29,2,9,S57283,B440412201,D24W4W1343,80,T,7730,SSM,SSM181,316LDSB,316LDSB,S316/316LD,316/316L,W,WR,DM,PK,SL,32,32,,S0808,TPLEX.CO.Ltd.,D990601580,10,D24W04W1065,N,2024-04-29,3,9W91,산세,1,200,8100,소형압연,2,S20,SEAM+터짐,제품불량,표면,4,JR,폐기,2024-04-29,C,2024-04-05,2024-04-05,2024-04-08,F,4,1,4,2,A,A,8301,2024-04-27,8100,2024-04-28,32,0,,,0,0,,,0,0,,,0,0,8100,2024-04-28,C,2024-05-03,,,C
2023-09-26,2,9,S55361,B380498700,D23W9W1419,80,T,7730,SSM,SSM181,316LDSB,316LDSB,S316/316LD,316/316L,W,WR,DM,PK,SL,29,29,,S0808,TPLEX.CO.Ltd.,D2023090036,002,D23W09W0133,N,2023-09-26,3,9W91,산세,1,"1,385",8100,소형압연,2,S20,SEAM+터짐,제품불량,표면,4,RG,수동연마추가,2023-09-26,D,2023-08-31,2023-08-31,2023-09-01,,2,2,3,11,A,A,8301,2023-09-24,8100,2023-09-26,29,0,,,0,0,,,0,0,,,0,0,8100,2023-09-26,D,2023-10-05,,,C
2023-09-26,2,9,S55361,B380499100,D23W9W1423,80,T,7730,SSM,SSM181,316LDSB,316LDSB,S316/316LD,316/316L,W,WR,DM,PK,SL,29,29,,S0808,TPLEX.CO.Ltd.,D2023090329,015,D23W09W2060,N,2023-09-26,3,9W91,산세,1,"1,279",2Z00,2제강,2,S11,종크랙,제품불량,표면,4,RG,수동연마추가,2023-09-26,,2023-08-31,2023-08-31,2023-09-01,,2,2,,,A,A,8301,2023-09-24,8100,2023-09-26,29,0,,,0,0,,,0,0,,,0,0,8100,2023-09-26,D,2023-10-05,,,C
2023-05-30,2,9,S54209,B350376500,D23W5W1358,80,T,7730,SSM,SSM181,316LDSB,316LDSB,S316/316LD,316/316L,W,WR,DM,PK,SL,33,33,,S0808,TPLEX.CO.Ltd.,D2023050310,025,D23W05W1873,N,2023-05-30,3,9W91,산세,1,"1,348",2Z00,2제강,2,S11,종크랙,제품불량,표면,4,RG,수동연마추가,2023-05-30,,2023-05-02,2023-05-02,2023-05-02,,4,3,4,3,A,A,8301,2023-05-28,8100,2023-05-29,33,0,,,0,0,,,0,0,,,0,0,8100,2023-05-29,C,2023-06-02,,,C
2023-09-17,2,9,S54805,B360592501,D23W9W1407,90,T,7730,SSM,SSM181,316LDSB,316LDSB,S316/316LD,316/316L,W,WR,DM,PF,SL,13,13,,S1065,SEAH METAL CO. LTD,D2023090189,043,D23W09W1748,N,2023-09-17,3,9W91,산세,1,200,8100,소형압연,2,S20,SEAM+터짐,제품불량,표면,4,JR,폐기,2023-09-17,D,2023-06-30,2023-06-30,2023-07-01,,3,3,4,3,A,A,8301,2023-09-14,8100,2023-09-16,13,0,,,0,0,,,0,0,,,0,0,8100,2023-09-16,D,2023-10-05,,,W
2023-09-26,2,9,S55361,B380499104,D23W9W1423,80,T,7730,SSM,SSM181,316LDSB,316LDSB,S316/316LD,316/316L,W,WR,DM,PK,SL,29,29,,S0808,TPLEX.CO.Ltd.,D2023090329,015,D23W09W2060,N,2023-09-26,3,9W91,산세,1,"1,328",2Z00,2제강,2,S11,종크랙,제품불량,표면,4,RG,수동연마추가,2023-09-26,,2023-08-31,2023-08-31,2023-09-01,,2,2,4,5,A,A,8301,2023-09-24,8100,2023-09-26,29,0,,,0,0,,,0,0,,,0,0,8100,2023-09-26,D,2023-10-05,,,C
2023-09-26,2,9,S55361,B380498800,D23W9W1420,80,T,7730,SSM,SSM181,316LDSB,316LDSB,S316/316LD,316/316L,W,WR,DM,PK,SL,29,29,,S0808,TPLEX.CO.Ltd.,D2023090037,006,D23W09W0139,N,2023-09-26,3,9W91,산세,1,"1,373",8100,소형압연,2,S20,SEAM+터짐,제품불량,표면,4,RG,수동연마추가,2023-09-26,D,2023-08-31,2023-08-31,2023-09-01,,2,2,6,1,A,A,8301,2023-09-23,8100,2023-09-26,29,0,,,0,0,,,0,0,,,0,0,8100,2023-09-26,D,2023-10-05,,,C
