년월,HEAT_NO,LOT_NO,공정코드,구분,공장명,주조구분,재료코드,강종그룹,강종코드,투입중량,생산중량,사내강종명,사내강종명(제강),구)사내강종명,품목,형상,용도,표면,열처리,외경,폭,내경,수요가명,수주번호,수주행번,압연공정1,압연일자1,압연외경1,압연폭1,압연공정2,압연일자2,압연외경2,압연폭2,압연공정3,압연일자3,압연외경3,압연폭3,압연공정4,압연일자4,압연외경4,압연폭4,최종압연공정,최종압연일자,발행구분,CAST내 수,CAST내 순,STRAND_NO,STRAND_SEQ,주조완료일,주여구분,지시GR종류,생산GR종류,생산GR공정,제강검사완료일,작업일,강관소재여부,주설비구분
202301,S52719,B310163302,9Y01,압연,산세,T,7730,SSH,SSH030,"1,611","1,437",STS303S1,STS303S1,S303,W,WR,DM,PK,SL,16,16,0,주식회사 티플랙스,D2023010204,007,8100,2023-01-21,16,0,,,0,0,,,0,0,,,0,0,8100,2023-01-21,1,\2,\1,,,2023-01-02,1,A,A,8301,2023-01-03,2023-02-01,N,C
202301,S52719,B310163301,9Y01,압연,산세,T,7730,SSH,SSH030,"1,596","1,408",STS303S1,STS303S1,S303,W,WR,DM,PK,SL,16,16,0,주식회사 티플랙스,D2023010204,007,8100,2023-01-21,16,0,,,0,0,,,0,0,,,0,0,8100,2023-01-21,1,\2,\1,03,03,2023-01-02,1,A,A,8301,2023-01-03,2023-02-01,N,C
202301,S52718,B310137001,9Y01,압연,산세,T,7730,SSH,SSH034,"1,593","1,412",STS303FS8,STS303FS8,,W,WR,DM,PF,SL,17,17,0,(주)세아메탈,D2023010095,046,8100,2023-01-21,17,0,,,0,0,,,0,0,,,0,0,8100,2023-01-21,1,\2,\2,06,08,2023-01-02,1,A,A,8301,2023-01-04,2023-02-01,N,C
202301,S52719,B310315800,9Y01,압연,산세,T,7730,SSH,SSH030,"1,580","1,423",STS303S1,STS303S1,S303,W,WR,DM,PK,SL,17,17,0,주식회사 티플랙스,D2023010204,008,8100,2023-01-21,17,0,,,0,0,,,0,0,,,0,0,8100,2023-01-21,1,\2,\1,01,10,2023-01-02,1,A,A,8301,2023-01-03,2023-02-01,N,C
202301,S52718,B310137501,9Y01,압연,산세,T,7730,SSH,SSH034,"1,599","1,391",STS303FS8,STS303FS8,,W,WR,DM,PF,SL,19,19,0,(주)세아메탈,D2023010119,001,8100,2023-01-24,19,0,,,0,0,,,0,0,,,0,0,8100,2023-01-24,1,\2,\2,04,02,2023-01-02,1,A,A,8301,2023-01-04,2023-02-01,N,C
202301,S52718,B310334700,9Y01,압연,산세,T,7730,SSH,SSH034,"1,599","1,370",STS303FS8,STS303FS8,,W,WR,DM,PF,SL,21,21,0,(주)세아특수강,D2023010133,011,8100,2023-01-25,21,0,,,0,0,,,0,0,,,0,0,8100,2023-01-25,1,\2,\2,01,02,2023-01-02,1,A,A,8301,2023-01-04,2023-02-01,N,C
202301,S52718,B310335100,9Y01,압연,산세,T,7730,SSH,SSH034,"1,599","1,380",STS303FS8,STS303FS8,,W,WR,DM,PF,SL,25,25,0,(주)세아특수강,D2023010133,013,8100,2023-01-27,25,0,,,0,0,,,0,0,,,0,0,8100,2023-01-27,1,\2,\2,01,05,2023-01-02,1,A,A,8301,2023-01-04,2023-02-01,N,C
202301,S52718,B310334900,9Y01,압연,산세,T,7730,SSH,SSH034,"1,599","1,396",STS303FS8,STS303FS8,,W,WR,DM,PF,SL,22,22,0,(주)세아메탈,D2023010119,004,8100,2023-01-25,22,0,,,0,0,,,0,0,,,0,0,8100,2023-01-25,1,\2,\2,02,01,2023-01-02,1,A,A,8301,2023-01-04,2023-02-01,N,C
202301,S52727,B310330300,9Y01,압연,산세,T,7730,SSA,SSA162,"1,599","1,282",STS304SX,STS304SX,S304,W,WR,DM,PK,SL,26.5,26.5,0,주식회사 티플랙스,D2023010212,020,8100,2023-01-27,26.5,0,,,0,0,,,0,0,,,0,0,8100,2023-01-27,1,\4,\2,03,03,2023-01-02,1,,,,2023-01-03,2023-02-01,N,C
202301,S52109,B2B0683300,9Y01,압연,산세,T,7730,SSG,SSG011,"1,599","1,443",STS303CS9,STS303CS9,S303C,W,WR,DM,PK,SL,17,17,0,동일제강(주),D2023010116,004,8100,2023-01-21,17,0,,,0,0,,,0,0,,,0,0,8100,2023-01-21,1,\2,\1,01,09,2022-11-03,1,A,A,8301,2022-11-03,2023-02-01,N,C
202301,S52109,B2B0683200,9Y01,압연,산세,T,7730,SSG,SSG011,"1,599","1,428",STS303CS9,STS303CS9,S303C,W,WR,DM,PK,SL,17,17,0,동일제강(주),D2023010122,001,8100,2023-01-21,17,0,,,0,0,,,0,0,,,0,0,8100,2023-01-21,1,\2,\1,03,11,2022-11-03,1,A,A,8301,2022-11-03,2023-02-01,N,C
202301,S52109,B2B0685000,9Y01,압연,산세,T,7730,SSG,SSG011,"1,599","1,416",STS303CS9,STS303CS9,S303C,W,WR,DM,PF,SL,26,26,0,(주)세아메탈,D2023010095,060,8100,2023-01-27,26,0,,,0,0,,,0,0,,,0,0,8100,2023-01-27,1,\2,\1,02,11,2022-11-03,1,A,A,8301,2022-11-03,2023-02-01,N,C
202301,S52033,B2A0675201,9Y01,압연,산세,T,7730,SSH,SSH034,"1,595","1,269",STS303FS8,STS303FS8,,W,WR,DM,PK,SL,16,16,0,만호제강(주)창원공장,D2023010162,005,8100,2023-01-21,16,0,,,0,0,,,0,0,,,0,0,8100,2023-01-21,1,\2,\1,02,05,2022-10-29,1,A,A,8301,2022-10-31,2023-02-01,N,C
202301,S52033,B2A0675200,9Y01,압연,산세,T,7730,SSH,SSH034,"1,603","1,397",STS303FS8,STS303FS8,,W,WR,DM,PK,SL,16,16,0,만호제강(주)창원공장,D2023010162,005,8100,2023-01-21,16,0,,,0,0,,,0,0,,,0,0,8100,2023-01-21,1,\2,\1,06,07,2022-10-29,1,A,A,8301,2022-10-31,2023-02-01,N,C
202301,S52719,B310162900,9Y01,압연,산세,T,7730,SSH,SSH030,"1,599","1,414",STS303S1,STS303S1,S303,W,WR,DM,PK,SL,16,16,0,동일제강(주),D2023010120,005,8100,2023-01-21,16,0,,,0,0,,,0,0,,,0,0,8100,2023-01-21,1,\2,\1,04,02,2023-01-02,1,A,A,8301,2023-01-03,2023-02-01,N,C
202301,S52718,B310137004,9Y01,압연,산세,T,7730,SSH,SSH034,"1,605","1,403",STS303FS8,STS303FS8,,W,WR,DM,PF,SL,17,17,0,(주)세아메탈,D2023010095,046,8100,2023-01-21,17,0,,,0,0,,,0,0,,,0,0,8100,2023-01-21,1,\2,\2,04,08,2023-01-02,1,A,A,8301,2023-01-04,2023-02-01,N,C
202301,S52718,B310137302,9Y01,압연,산세,T,7730,SSH,SSH034,"1,599","1,374",STS303FS8,STS303FS8,,W,WR,DM,PF,SL,19,19,0,(주)세아특수강,D2023010133,009,8100,2023-01-24,19,0,,,0,0,,,0,0,,,0,0,8100,2023-01-24,1,\2,\2,01,03,2023-01-02,1,A,A,8301,2023-01-04,2023-02-01,N,C
202301,S52718,B310334600,9Y01,압연,산세,T,7730,SSH,SSH034,"1,599","1,397",STS303FS8,STS303FS8,,W,WR,DM,PF,SL,20,20,0,(주)세아메탈,D2023010119,002,8100,2023-01-24,20,0,,,0,0,,,0,0,,,0,0,8100,2023-01-24,1,\2,\2,05,10,2023-01-02,1,A,A,8301,2023-01-04,2023-02-01,N,C
202301,S52718,B310335403,9Y01,압연,산세,T,7730,SSH,SSH034,"1,601","1,377",STS303FS8,STS303FS8,,W,WR,DM,PF,SL,20,20,0,(주)세아특수강,D2023010133,010,8100,2023-01-24,20,0,,,0,0,,,0,0,,,0,0,8100,2023-01-24,1,\2,\2,04,03,2023-01-02,1,A,A,8301,2023-01-04,2023-02-01,N,C
202301,S52718,B310335402,9Y01,압연,산세,T,7730,SSH,SSH034,"1,611","1,409",STS303FS8,STS303FS8,,W,WR,DM,PF,SL,20,20,0,(주)세아특수강,D2023010133,010,8100,2023-01-24,20,0,,,0,0,,,0,0,,,0,0,8100,2023-01-24,1,\2,\2,03,04,2023-01-02,1,A,A,8301,2023-01-04,2023-02-01,N,C
202301,S52718,B310334500,9Y01,압연,산세,T,7730,SSH,SSH034,"1,599","1,384",STS303FS8,STS303FS8,,W,WR,DM,PF,SL,20,20,0,(주)세아특수강,D2023010133,010,8100,2023-01-24,20,0,,,0,0,,,0,0,,,0,0,8100,2023-01-24,1,\2,\2,04,09,2023-01-02,1,A,A,8301,2023-01-04,2023-02-01,N,C
202301,S52718,B310328307,9Y01,압연,산세,T,7730,SSH,SSH034,"1,579","1,340",STS303FS8,STS303FS8,,W,WR,DM,PK,SL,20.5,20.5,0,주식회사 티플랙스,D2023010330,001,8100,2023-01-24,20.5,0,,,0,0,,,0,0,,,0,0,8100,2023-01-24,1,\2,\2,02,03,2023-01-02,1,A,A,8301,2023-01-04,2023-02-01,N,C
202301,S52718,B310328306,9Y01,압연,산세,T,7730,SSH,SSH034,"1,586","1,379",STS303FS8,STS303FS8,,W,WR,DM,PK,SL,20.5,20.5,0,주식회사 티플랙스,D2023010330,001,8100,2023-01-24,20.5,0,,,0,0,,,0,0,,,0,0,8100,2023-01-24,1,\2,\2,02,04,2023-01-02,1,A,A,8301,2023-01-04,2023-02-01,N,C
202301,S52718,B310328303,9Y01,압연,산세,T,7730,SSH,SSH034,"1,603","1,185",STS303FS8,STS303FS8,,W,WR,DM,PK,SL,20.5,20.5,0,주식회사 티플랙스,D2023010330,001,8100,2023-01-24,20.5,0,,,0,0,,,0,0,,,0,0,8100,2023-01-24,1,\2,\2,04,07,2023-01-02,1,A,A,8301,2023-01-04,2023-02-01,N,C
202301,S52718,B310328302,9Y01,압연,산세,T,7730,SSH,SSH034,"1,621","1,410",STS303FS8,STS303FS8,,W,WR,DM,PK,SL,20.5,20.5,0,주식회사 티플랙스,D2023010330,001,8100,2023-01-24,20.5,0,,,0,0,,,0,0,,,0,0,8100,2023-01-24,1,\2,\2,03,11,2023-01-02,1,A,A,8301,2023-01-04,2023-02-01,N,C
202301,S52718,B310328301,9Y01,압연,산세,T,7730,SSH,SSH034,"1,626","1,419",STS303FS8,STS303FS8,,W,WR,DM,PK,SL,20.5,20.5,0,주식회사 티플랙스,D2023010330,001,8100,2023-01-24,20.5,0,,,0,0,,,0,0,,,0,0,8100,2023-01-24,1,\2,\2,03,10,2023-01-02,1,A,A,8301,2023-01-04,2023-02-01,N,C
202301,S52718,B310328300,9Y01,압연,산세,T,7730,SSH,SSH034,"1,594","1,352",STS303FS8,STS303FS8,,W,WR,DM,PK,SL,20.5,20.5,0,주식회사 티플랙스,D2023010330,001,8100,2023-01-24,20.5,0,,,0,0,,,0,0,,,0,0,8100,2023-01-24,1,\2,\2,05,04,2023-01-02,1,A,A,8301,2023-01-04,2023-02-01,N,C
202301,S52718,B310328209,9Y01,압연,산세,T,7730,SSH,SSH034,"1,637","1,371",STS303FS8,STS303FS8,,W,WR,DM,PK,SL,20.5,20.5,0,주식회사 티플랙스,D2023010192,002,8100,2023-01-24,20.5,0,,,0,0,,,0,0,,,0,0,8100,2023-01-24,1,\2,\2,04,04,2023-01-02,1,A,A,8301,2023-01-04,2023-02-01,N,C
202301,S52718,B310328208,9Y01,압연,산세,T,7730,SSH,SSH034,"1,609","1,358",STS303FS8,STS303FS8,,W,WR,DM,PK,SL,20.5,20.5,0,주식회사 티플랙스,D2023010192,002,8100,2023-01-24,20.5,0,,,0,0,,,0,0,,,0,0,8100,2023-01-24,1,\2,\2,05,03,2023-01-02,1,A,A,8301,2023-01-04,2023-02-01,N,C
202301,S52718,B310328207,9Y01,압연,산세,T,7730,SSH,SSH034,"1,631","1,414",STS303FS8,STS303FS8,,W,WR,DM,PK,SL,20.5,20.5,0,주식회사 티플랙스,D2023010192,002,8100,2023-01-24,20.5,0,,,0,0,,,0,0,,,0,0,8100,2023-01-24,1,\2,\2,,,2023-01-02,1,A,A,8301,2023-01-04,2023-02-01,N,C
202301,S52718,B310328205,9Y01,압연,산세,T,7730,SSH,SSH034,"1,629","1,375",STS303FS8,STS303FS8,,W,WR,DM,PK,SL,20.5,20.5,0,주식회사 티플랙스,D2023010192,002,8100,2023-01-24,20.5,0,,,0,0,,,0,0,,,0,0,8100,2023-01-24,1,\2,\2,05,09,2023-01-02,1,A,A,8301,2023-01-04,2023-02-01,N,C
202301,S52718,B310328202,9Y01,압연,산세,T,7730,SSH,SSH034,"1,598","1,332",STS303FS8,STS303FS8,,W,WR,DM,PK,SL,20.5,20.5,0,주식회사 티플랙스,D2023010192,002,8100,2023-01-24,20.5,0,,,0,0,,,0,0,,,0,0,8100,2023-01-24,1,\2,\2,01,08,2023-01-02,1,A,A,8301,2023-01-04,2023-02-01,N,C
202301,S52718,B310334800,9Y01,압연,산세,T,7730,SSH,SSH034,"1,599","1,394",STS303FS8,STS303FS8,,W,WR,DM,PF,SL,21,21,0,(주)세아메탈,D2023010119,003,8100,2023-01-25,21,0,,,0,0,,,0,0,,,0,0,8100,2023-01-25,1,\2,\2,04,05,2023-01-02,1,A,A,8301,2023-01-04,2023-02-01,N,C
202301,S52718,B310373600,9Y01,압연,산세,T,7730,SSH,SSH034,"1,599","1,365",STS303FS8,STS303FS8,,W,WR,DM,PF,SL,21,21,0,(주)세아메탈,D2023010119,003,8100,2023-01-25,21,0,,,0,0,,,0,0,,,0,0,8100,2023-01-25,1,\2,\2,,,2023-01-02,1,A,A,8301,2023-01-04,2023-02-01,N,C
202301,S52718,B310137400,9Y01,압연,산세,T,7730,SSH,SSH034,"1,605","1,356",STS303FS8,STS303FS8,,W,WR,DM,PF,SL,21,21,0,(주)세아특수강,D2023010133,011,8100,2023-01-25,21,0,,,0,0,,,0,0,,,0,0,8100,2023-01-25,1,\2,\2,03,02,2023-01-02,1,A,A,8301,2023-01-04,2023-02-01,N,C
202301,S52718,B310137402,9Y01,압연,산세,T,7730,SSH,SSH034,"1,596","1,386",STS303FS8,STS303FS8,,W,WR,DM,PF,SL,21,21,0,(주)세아특수강,D2023010133,011,8100,2023-01-25,21,0,,,0,0,,,0,0,,,0,0,8100,2023-01-25,1,\2,\2,03,05,2023-01-02,1,A,A,8301,2023-01-04,2023-02-01,N,C
202301,S52718,B310137401,9Y01,압연,산세,T,7730,SSH,SSH034,"1,596","1,398",STS303FS8,STS303FS8,,W,WR,DM,PF,SL,21,21,0,(주)세아특수강,D2023010133,011,8100,2023-01-25,21,0,,,0,0,,,0,0,,,0,0,8100,2023-01-25,1,\2,\2,01,01,2023-01-02,1,A,A,8301,2023-01-04,2023-02-01,N,C
202301,S52037,B2A0680003,9Y01,압연,산세,T,7730,SSH,SSH020,"1,595","1,394",STS303S4,STS303S4,S303,W,WR,DM,PK,SL,23,23,0,"SUN CHUNG METAL INDUSTRY CO., LTD",E2023010065,003,8100,2023-01-26,23,0,,,0,0,,,0,0,,,0,0,8100,2023-01-26,1,\3,\1,,,2022-10-29,1,A,A,8301,2022-10-31,2023-02-01,N,C
202301,S52718,B310137303,9Y01,압연,산세,T,7730,SSH,SSH034,"1,599","1,423",STS303FS8,STS303FS8,,W,WR,DM,PF,SL,23,23,0,(주)세아특수강,D2023010133,012,8100,2023-01-26,23,0,,,0,0,,,0,0,,,0,0,8100,2023-01-26,1,\2,\2,,,2023-01-02,1,A,A,8301,2023-01-04,2023-02-01,N,C
202301,S52719,B310385000,9Y01,압연,산세,T,7730,SSH,SSH030,"1,597","1,281",STS303S1,STS303S1,S303,W,WR,DM,PK,SL,26,26,0,주식회사 티플랙스,D2023010204,009,8100,2023-01-27,26,0,,,0,0,,,0,0,,,0,0,8100,2023-01-27,1,\2,\1,01,06,2023-01-02,1,A,A,8301,2023-01-03,2023-02-01,N,C
202301,S51754,B2A0675904,9Y01,압연,산세,T,7730,SSM,SSM212,"1,633","1,440",STS316FS3,STS316FS3,,W,WR,DM,PK,SL,20,20,0,PROFIT GROUP INDUSTRIAL LIMITED,E2023010070,004,8100,2023-01-24,20,0,,,0,0,,,0,0,,,0,0,8100,2023-01-24,1,\1,\1,06,05,2022-10-02,1,A,A,8301,2022-10-03,2023-02-01,N,C
202301,S51754,B2A0675903,9Y01,압연,산세,T,7730,SSM,SSM212,"1,654","1,359",STS316FS3,STS316FS3,,W,WR,DM,PK,SL,20,20,0,PROFIT GROUP INDUSTRIAL LIMITED,E2023010070,004,8100,2023-01-24,20,0,,,0,0,,,0,0,,,0,0,8100,2023-01-24,1,\1,\1,,,2022-10-02,1,A,A,8301,2022-10-03,2023-02-01,N,C
202301,S46405,B160086509,9Y01,압연,산세,T,6830,SSM,SSM212,"1,617","1,064",STS316FS3,STS316FS3,,W,WR,DM,PK,SL,20,20,0,PROFIT GROUP INDUSTRIAL LIMITED,E2023010070,004,8100,2023-01-24,20,0,,,0,0,,,0,0,,,0,0,8100,2023-01-24,1,\1,\1,,,2021-06-05,1,A,A,8301,2021-06-06,2023-02-01,N,C
202301,S52780,B310268301,9Y01,압연,산세,T,7730,SSM,SSM024,"1,627","1,415",316LDS1,316LDS1,S316/316LD,W,WR,DZ,PF,SL,26,26,0,(주)세아특수강,D2023010133,006,8100,2023-01-27,26,0,,,0,0,,,0,0,,,0,0,8100,2023-01-27,1,\6,\5,02,09,2023-01-06,1,A,A,8301,2023-01-09,2023-02-01,N,C
202301,S51746,B2A0679201,9Y01,압연,산세,T,7730,SSM,SSM202,"1,617","1,459",316LDSZ,316LDSZ,,W,WR,DM,PK,SL,23,23,0,동일제강(주),D2023010121,007,8100,2023-01-26,23,0,,,0,0,,,0,0,,,0,0,8100,2023-01-26,1,\5,\5,,,2022-10-01,1,A,A,8301,2022-10-03,2023-01-30,N,C
202301,S51746,B2A0679508,9Y01,압연,산세,T,7730,SSM,SSM202,"1,598","1,443",316LDSZ,316LDSZ,,W,WR,DM,PK,SL,25,25,0,동일제강(주),D2023010121,009,8100,2023-01-27,25,0,,,0,0,,,0,0,,,0,0,8100,2023-01-27,1,\5,\5,,,2022-10-01,1,A,A,8301,2022-10-03,2023-01-30,N,C
202301,S51746,B2A0679507,9Y01,압연,산세,T,7730,SSM,SSM202,"1,632","1,471",316LDSZ,316LDSZ,,W,WR,DM,PK,SL,25,25,0,동일제강(주),D2023010121,009,8100,2023-01-27,25,0,,,0,0,,,0,0,,,0,0,8100,2023-01-27,1,\5,\5,,,2022-10-01,1,A,A,8301,2022-10-03,2023-01-30,N,C
202301,S51746,B2A0679506,9Y01,압연,산세,T,7730,SSM,SSM202,"1,634","1,446",316LDSZ,316LDSZ,,W,WR,DM,PK,SL,25,25,0,동일제강(주),D2023010121,009,8100,2023-01-27,25,0,,,0,0,,,0,0,,,0,0,8100,2023-01-27,1,\5,\5,,,2022-10-01,1,A,A,8301,2022-10-03,2023-01-30,N,C
202301,S51746,B2A0679505,9Y01,압연,산세,T,7730,SSM,SSM202,"1,631","1,477",316LDSZ,316LDSZ,,W,WR,DM,PK,SL,25,25,0,동일제강(주),D2023010121,009,8100,2023-01-27,25,0,,,0,0,,,0,0,,,0,0,8100,2023-01-27,1,\5,\5,,,2022-10-01,1,A,A,8301,2022-10-03,2023-01-30,N,C
202301,S51746,B2A0679504,9Y01,압연,산세,T,7730,SSM,SSM202,"1,615","1,456",316LDSZ,316LDSZ,,W,WR,DM,PK,SL,25,25,0,동일제강(주),D2023010121,009,8100,2023-01-27,25,0,,,0,0,,,0,0,,,0,0,8100,2023-01-27,1,\5,\5,,,2022-10-01,1,A,A,8301,2022-10-03,2023-01-30,N,C
202301,S51746,B2A0679503,9Y01,압연,산세,T,7730,SSM,SSM202,"1,627","1,448",316LDSZ,316LDSZ,,W,WR,DM,PK,SL,25,25,0,동일제강(주),D2023010121,009,8100,2023-01-27,25,0,,,0,0,,,0,0,,,0,0,8100,2023-01-27,1,\5,\5,,,2022-10-01,1,A,A,8301,2022-10-03,2023-01-30,N,C
202301,S51746,B2A0679502,9Y01,압연,산세,T,7730,SSM,SSM202,"1,632","1,332",316LDSZ,316LDSZ,,W,WR,DM,PK,SL,25,25,0,동일제강(주),D2023010121,009,8100,2023-01-27,25,0,,,0,0,,,0,0,,,0,0,8100,2023-01-27,1,\5,\5,01,11,2022-10-01,1,A,A,8301,2022-10-03,2023-01-30,N,C
202301,S51746,B2A0679501,9Y01,압연,산세,T,7730,SSM,SSM202,"1,635","1,479",316LDSZ,316LDSZ,,W,WR,DM,PK,SL,25,25,0,동일제강(주),D2023010121,009,8100,2023-01-27,25,0,,,0,0,,,0,0,,,0,0,8100,2023-01-27,1,\5,\5,02,05,2022-10-01,1,A,A,8301,2022-10-03,2023-01-30,N,C
202301,S51746,B2A0679500,9Y01,압연,산세,T,7730,SSM,SSM202,"1,621","1,446",316LDSZ,316LDSZ,,W,WR,DM,PK,SL,25,25,0,동일제강(주),D2023010121,009,8100,2023-01-27,25,0,,,0,0,,,0,0,,,0,0,8100,2023-01-27,1,\5,\5,,,2022-10-01,1,A,A,8301,2022-10-03,2023-01-30,N,C
202301,S51745,B2A0681500,9Y01,압연,산세,T,7730,SSM,SSM202,"1,596","1,442",316LDSZ,316LDSZ,,W,WR,DM,PK,SL,26,26,0,동일제강(주),D2023010121,010,8100,2023-01-27,26,0,,,0,0,,,0,0,,,0,0,8100,2023-01-27,1,\5,\4,06,07,2022-10-01,1,A,A,8301,2022-10-03,2023-01-30,N,C
