년월일,업무구분,공장구분,HEAT_NO,LOT_NO,PON,공정순위,주조구분,재료코드,강종그룹,강종코드,사내강종명,사내강종명(제강),구)사내강종명,강종,품목,형상,용도,표면,열처리,외경,폭,내경,수요가,수요가명,수주번호,수주행번,생산의뢰번호,강관소재여부,발생일자,발생구분,발생공정,발생공정명,발생수량,발생중량,원인공정,원인공정명,이상구분,이상코드,이상코드명,이상분류,이상구분,상태코드,조치코드,조치코드명,조치일자,원인공정_작업조,출탕완료일시,주조완료일시,검사완료일시,초말구분,CAST내_수,CAST내_순,STRAND_NO,STRAND_SEQ,지시GR_종류,생산GR_종류,생산GR공정,GR_일자,압연공정1,압연일자1,압연외경1,압연폭1,압연공정2,압연일자2,압연외경2,압연폭2,압연공정3,압연일자3,압연외경3,압연폭3,압연공정4,압연일자4,압연외경4,압연폭4,최종압연공정,최종압연일자,제품압연작업조,생성일시,HCR,투입중량,주설비구분
2023-01-27,2,9,S52724,B310258804,D23W1W0873,90,T,7730,SSA,SSA118,STS304S5,STS304S5,S304,SUS304F,W,WR,DM,PF,SL,23,23,,S0556,"SeAH SPECIAL STEEL CO,. LTD.",D2023010133,014,D23W01W1182,N,2023-01-27,3,9W91,산세,1,155,8100,소형압연,2,D23,외경(변)미달,제품불량,치수,4,JR,폐기,2023-01-27,A,2023-01-02,2023-01-02,2023-01-04,,\5,\4,\1,\12,A,A,B301,2023-01-21,8100,2023-01-26,23,0,,,0,0,,,0,0,,,0,0,8100,2023-01-26,A,2023-02-02,,,C
2023-01-27,2,9,S52728,B310319201,D23W1W1146,80,T,7730,SSA,SSA162,STS304SX,STS304SX,S304,304,W,WR,DM,PK,SL,23,23,,S0808,TPLEX.CO.Ltd.,D2023010212,019,D23W01W2033,N,2023-01-27,3,9W91,산세,1,739,2T00,2제강,2,S22,터짐,제품불량,표면,4,RG,수동연마추가,2023-01-27,,2023-01-03,2023-01-03,2023-01-05,,\4,\3,\3,\10,C,C,8301,2023-01-24,8100,2023-01-26,23,0,,,0,0,,,0,0,,,0,0,8100,2023-01-26,A,2023-02-02,,,C
2023-01-27,2,9,S52728,B310319201,D23W1W1146,80,T,7730,SSA,SSA162,STS304SX,STS304SX,S304,304,W,WR,DM,PK,SL,23,23,,S0808,TPLEX.CO.Ltd.,D2023010212,019,D23W01W2033,N,2023-01-27,3,9W91,산세,1,739,8T00,소형압연,2,S22,터짐,제품불량,표면,4,RG,수동연마추가,2023-01-27,,2023-01-03,2023-01-03,2023-01-05,,\4,\3,\3,\10,C,C,8301,2023-01-24,8100,2023-01-26,23,0,,,0,0,,,0,0,,,0,0,8100,2023-01-26,A,2023-02-02,,,C
2023-01-30,2,9,S51746,B2A0679502,D23W1W1011,80,T,7730,SSM,SSM202,316LDSZ,316LDSZ,,PSS316/316L,W,WR,DM,PK,SL,25,25,,20229,"DONG IL STEEL CO.,LTD.",D2023010121,009,D23W01W1149,N,2023-01-30,3,9W91,산세,1,155,8100,소형압연,2,H14,권취불량,제품불량,형상,4,JR,폐기,2023-01-30,A,2022-10-01,2022-10-01,2022-10-03,,\5,\5,\1,\11,A,A,8301,2023-01-25,8100,2023-01-27,25,0,,,0,0,,,0,0,,,0,0,8100,2023-01-27,A,2023-02-02,,,C
2023-01-28,2,9,S50687,B260717900,E23W1W0280,80,T,6830,SSJ,SSJ025,STS304J3S9,STS304J3S9,S304J3,SUS304J3,W,WR,DH,PK,SL,17,17,,S1568,"KISHIWADA STAINLESS CO., LTD.",E2023010046,006,E23W01W0163,N,2023-01-28,3,9W91,산세,1,686,2T00,2제강,2,S22,터짐,제품불량,표면,4,RG,수동연마추가,2023-01-28,,2022-06-06,2022-06-06,2022-06-07,,\4,\1,\2,\2,A,A,8301,2023-01-18,8100,2023-01-23,17,0,,,0,0,,,0,0,,,0,0,8100,2023-01-23,A,2023-02-02,,,C
2023-01-28,2,9,S50687,B260717900,E23W1W0280,80,T,6830,SSJ,SSJ025,STS304J3S9,STS304J3S9,S304J3,SUS304J3,W,WR,DH,PK,SL,17,17,,S1568,"KISHIWADA STAINLESS CO., LTD.",E2023010046,006,E23W01W0163,N,2023-01-28,3,9W91,산세,1,686,8T00,소형압연,2,S22,터짐,제품불량,표면,4,RG,수동연마추가,2023-01-28,,2022-06-06,2022-06-06,2022-06-07,,\4,\1,\2,\2,A,A,8301,2023-01-18,8100,2023-01-23,17,0,,,0,0,,,0,0,,,0,0,8100,2023-01-23,A,2023-02-02,,,C
2023-01-28,2,9,S52383,B2B0684200,E23W1W0272,80,T,7730,SSA,SSA162,STS304SX,STS304SX,S304,SUS304,W,WR,DM,PF,SL,19,19,,S0763,"YAMASHIN SPECIAL STEEL(JIANGSU) CO.,LTD.",E2023010045,001,E23W01W0094,N,2023-01-28,3,9W91,산세,1,"1,487",8100,소형압연,2,S20,SEAM+터짐,제품불량,표면,4,RG,수동연마추가,2023-01-28,A,2022-11-28,2022-11-28,2022-12-01,,\4,\1,\4,\11,,,,,8100,2023-01-24,19,0,,,0,0,,,0,0,,,0,0,8100,2023-01-24,A,2023-02-02,,,C
2023-01-28,2,9,S52461,B2C0715801,D23W1W1193,70,T,7730,SSA,SSA148,STS304LJS2,STS304LJS2,S304LJ,SUS304L,W,WR,DZ,PK,SL,20,20,,S1336,"SHIN JIN FASTENER CO.,LTD",D2023010134,022,D23W01W1201,N,2023-01-28,3,9W91,산세,1,170,8100,소형압연,2,S11,종크랙,제품불량,표면,4,JR,폐기,2023-01-28,B,2022-12-04,2022-12-04,2022-12-04,,\1,\1,\2,\7,,,,,8100,2023-01-24,20,0,,,0,0,,,0,0,,,0,0,8100,2023-01-24,B,2023-02-02,,,C
2023-01-28,2,9,S52727,B310330003,D23W1W1160,90,T,7730,SSA,SSA162,STS304SX,STS304SX,S304,304,W,WR,DM,PF,SL,26,26,,S0556,"SeAH SPECIAL STEEL CO,. LTD.",D2023010132,001,D23W01W1168,N,2023-01-28,3,9W91,산세,1,200,8100,소형압연,2,S32,OVERLAP,제품불량,표면,4,JR,폐기,2023-01-28,B,2023-01-02,2023-01-03,2023-01-03,,\4,\2,\4,\3,,,,,8100,2023-01-27,26,0,,,0,0,,,0,0,,,0,0,8100,2023-01-27,B,2023-02-02,,,C
2023-01-30,2,9,S51746,B2A0679400,D23W1W1010,80,T,7730,SSM,SSM202,316LDSZ,316LDSZ,,PSS316/316L,W,WR,DM,PK,SL,24,24,,20229,"DONG IL STEEL CO.,LTD.",D2023010121,008,D23W01W0980,N,2023-01-30,3,9W91,산세,1,"1,369",V000,소형생산실공통,2,S11,종크랙,제품불량,표면,4,RG,수동연마추가,2023-01-30,,2022-10-01,2022-10-01,2022-10-03,,\5,\5,\2,\12,A,A,8301,2023-01-21,8100,2023-01-26,24,0,,,0,0,,,0,0,,,0,0,8100,2023-01-26,B,2023-02-02,,,C
2023-06-24,2,9,S54517,B360148500,D23W6W1090,80,T,7730,SSM,SSM053,316LDS2,316LDS2,S316/316LD,316/316L,W,WR,DM,PK,SL,21,21,,20229,"DONG IL STEEL CO.,LTD.",D2023060126,007,D23W06W1768,N,2023-06-24,3,9W91,산세,1,715,2T00,2제강,2,S22,터짐,제품불량,표면,4,RG,수동연마추가,2023-06-24,,2023-05-31,2023-06-01,2023-06-01,,\2,\2,\5,\8,A,A,8301,2023-06-17,8100,2023-06-23,21,0,,,0,0,,,0,0,,,0,0,8100,2023-06-23,A,2023-07-04,,,C
2023-06-24,2,9,S54517,B360148500,D23W6W1090,80,T,7730,SSM,SSM053,316LDS2,316LDS2,S316/316LD,316/316L,W,WR,DM,PK,SL,21,21,,20229,"DONG IL STEEL CO.,LTD.",D2023060126,007,D23W06W1768,N,2023-06-24,3,9W91,산세,1,714,8T00,소형압연,2,S22,터짐,제품불량,표면,4,RG,수동연마추가,2023-06-24,,2023-05-31,2023-06-01,2023-06-01,,\2,\2,\5,\8,A,A,8301,2023-06-17,8100,2023-06-23,21,0,,,0,0,,,0,0,,,0,0,8100,2023-06-23,A,2023-07-04,,,C
2023-06-29,2,9,S54525,B360245403,D23W6W1427,80,T,7730,SSM,SSM181,316LDSB,316LDSB,S316/316LD,316/316L,W,WR,DM,PK,SL,34,34,,S0808,TPLEX.CO.Ltd.,D2023060215,034,D23W06W1357,N,2023-06-29,3,9W91,산세,1,"1,427",8100,소형압연,2,S13,SEAM,제품불량,표면,4,RG,수동연마추가,2023-06-29,A,2023-06-01,2023-06-01,2023-06-02,,\3,\2,\6,\6,A,A,8301,2023-06-28,8100,2023-06-29,34,0,,,0,0,,,0,0,,,0,0,8100,2023-06-29,A,2023-07-04,,,C
2023-06-23,2,9,S54215,B350623200,D23W6W1333,80,T,7730,SSM,SSM104,STS316LS2,STS316LS2,S316LA,AISI316L,W,WR,DH,PK,SL,19,19,,21583,ORIENSMETAL,D2023060128,003,D23W06W1435,N,2023-06-23,3,9W91,산세,1,"1,373",8100,소형압연,2,S20,SEAM+터짐,제품불량,표면,4,RG,수동연마추가,2023-06-23,A,2023-05-02,2023-05-02,2023-05-03,F,\2,\1,\5,\1,D,D,8301,2023-06-19,8100,2023-06-22,19,0,,,0,0,,,0,0,,,0,0,8100,2023-06-22,A,2023-07-04,,,C
2023-06-23,2,9,S54210,B350375501,D23W5W1348,82,T,7730,SSM,SSM181,316LDSB,316LDSB,S316/316LD,316/316L,W,WR,DM,PK,SL,30,30,,S0808,TPLEX.CO.Ltd.,D2023050157,013,D23W05W0579,N,2023-06-01,3,9W91,산세,1,"1,399",8100,소형압연,2,D12,진원도(편경차)불량,제품불량,치수,4,JR,폐기,2023-06-23,A,2023-05-02,2023-05-02,2023-05-02,,\4,\4,\2,\5,A,A,8301,2023-05-26,8100,2023-05-28,30,0,,,0,0,,,0,0,,,0,0,8100,2023-05-28,A,2023-07-04,,,C
2023-06-23,2,9,S54494,B350634306,D23W6W1556,90,T,7730,SSA,SSA162,STS304SX,STS304SX,S304,CSS304FS,W,WR,DM,PF,SL,20,20,,S1065,SEAH METAL CO. LTD,D2023070020,001,D23W06W2458,N,2023-06-23,3,9W91,산세,1,"1,354",8100,소형압연,2,S20,SEAM+터짐,제품불량,표면,4,RG,수동연마추가,2023-06-23,D,2023-05-30,2023-05-30,2023-05-31,,\6,\4,\3,\7,A,A,8301,2023-06-22,8100,2023-06-23,20,0,,,0,0,,,0,0,,,0,0,8100,2023-06-23,D,2023-07-04,,,C
2023-06-26,2,9,S54526,B360244000,D23W6W1416,80,T,7730,SSM,SSM181,316LDSB,316LDSB,S316/316LD,316/316L,W,WR,DM,PK,SL,27,27,,S0808,TPLEX.CO.Ltd.,D2023060215,029,D23W06W1414,N,2023-06-26,3,9W91,산세,1,500,2T00,2제강,2,S22,터짐,제품불량,표면,4,RG,수동연마추가,2023-06-26,,2023-06-01,2023-06-01,2023-06-02,,\3,\3,\1,\6,A,A,8301,2023-06-25,8100,2023-06-26,27,0,,,0,0,,,0,0,,,0,0,8100,2023-06-26,D,2023-07-04,,,C
2023-06-26,2,9,S54526,B360244000,D23W6W1416,80,T,7730,SSM,SSM181,316LDSB,316LDSB,S316/316LD,316/316L,W,WR,DM,PK,SL,27,27,,S0808,TPLEX.CO.Ltd.,D2023060215,029,D23W06W1414,N,2023-06-26,3,9W91,산세,1,499,8T00,소형압연,2,S22,터짐,제품불량,표면,4,RG,수동연마추가,2023-06-26,,2023-06-01,2023-06-01,2023-06-02,,\3,\3,\1,\6,A,A,8301,2023-06-25,8100,2023-06-26,27,0,,,0,0,,,0,0,,,0,0,8100,2023-06-26,D,2023-07-04,,,C
2023-06-26,2,9,S54496,B350632001,D23W6W1533,90,T,7730,SSA,SSA162,STS304SX,STS304SX,S304,304,W,WR,DM,PF,SL,26,26,,S0556,"SeAH SPECIAL STEEL CO,. LTD.",D2023060249,001,D23W06W1926,N,2023-06-26,3,9W91,산세,1,"1,347",2Z00,2제강,2,S11,종크랙,제품불량,표면,4,RG,수동연마추가,2023-06-26,,2023-05-30,2023-05-30,2023-05-31,,\6,\6,\6,\4,A,A,8301,2023-06-24,8100,2023-06-25,26,0,,,0,0,,,0,0,,,0,0,8100,2023-06-25,B,2023-07-04,,,C
2023-06-26,2,9,S54188,B350619702,D23W6W1291,80,T,7730,SSA,SSA127,STS304LS2,STS304LS2,S304LA,AISI304L,W,WR,DM,PF,SL,21,21,,S0556,"SeAH SPECIAL STEEL CO,. LTD.",D2023060249,009,D23W06W2067,N,2023-06-26,3,9W91,산세,1,"1,289",2Z00,2제강,2,S11,종크랙,제품불량,표면,4,RG,수동연마추가,2023-06-26,,2023-04-30,2023-05-01,2023-05-01,,\2,\1,\1,\10,,,,,8100,2023-06-23,21,0,,,0,0,,,0,0,,,0,0,8100,2023-06-23,A,2023-07-04,,,C
2023-06-28,2,9,S54437,B350630101,D23W6W1519,90,T,7730,SSH,SSH030,STS303S1,STS303S1,S303,303FM,W,WR,DM,PK,SL,26,26,,S0808,TPLEX.CO.Ltd.,D2023060240,013,D23W06W1370,N,2023-06-28,3,9W91,산세,1,707,2T00,2제강,2,S22,터짐,제품불량,표면,4,RG,수동연마추가,2023-06-28,,2023-05-25,2023-05-26,2023-05-26,,\2,\2,\5,\6,A,A,8301,2023-06-24,8100,2023-06-25,26,0,,,0,0,,,0,0,,,0,0,8100,2023-06-25,B,2023-07-04,,,C
2023-06-28,2,9,S54437,B350630101,D23W6W1519,90,T,7730,SSH,SSH030,STS303S1,STS303S1,S303,303FM,W,WR,DM,PK,SL,26,26,,S0808,TPLEX.CO.Ltd.,D2023060240,013,D23W06W1370,N,2023-06-28,3,9W91,산세,1,707,8T00,소형압연,2,S22,터짐,제품불량,표면,4,RG,수동연마추가,2023-06-28,,2023-05-25,2023-05-26,2023-05-26,,\2,\2,\5,\6,A,A,8301,2023-06-24,8100,2023-06-25,26,0,,,0,0,,,0,0,,,0,0,8100,2023-06-25,B,2023-07-04,,,C
2023-07-25,2,9,S54811,B370237701,D23W7W1174,80,T,7730,SSJ,SSJ016,STS304HCS5,STS304HCS5,S304HC,304HC,W,WR,DH,PK,SL,30,30,,S1336,"SHIN JIN FASTENER CO.,LTD",D2023070199,013,D23W07W1235,N,2023-07-25,3,9W91,산세,1,"1,378",2Z00,2제강,2,S24,SCAB,제품불량,표면,4,RG,수동연마추가,2023-07-25,,2023-06-30,2023-07-01,2023-07-01,,\2,\2,\1,\6,A,A,8301,2023-07-21,8100,2023-07-22,30,0,,,0,0,,,0,0,,,0,0,8100,2023-07-22,C,2023-08-07,,,C
2023-07-25,2,9,S54204,B350698003,D23W7W1114,90,T,7730,SSM,SSM181,316LDSB,316LDSB,S316/316LD,316/316L,W,WR,DM,PF,SL,32,32,,S1065,SEAH METAL CO. LTD,D2023080010,001,D23W07W1725,N,2023-07-25,3,9W91,산세,1,"1,291",2Z00,2제강,2,S11,종크랙,제품불량,표면,4,RG,수동연마추가,2023-07-25,,2023-05-01,2023-05-02,2023-05-02,,\4,\2,\1,\12,A,A,8301,2023-07-21,8100,2023-07-23,32,0,,,0,0,,,0,0,,,0,0,8100,2023-07-23,B,2023-08-07,,,C
2023-07-25,2,9,S54767,B360511200,D23W7W1183,90,T,7730,SSA,SSA162,STS304SX,STS304SX,S304,CSS304F,W,WR,DM,PF,SL,28,28,,S0556,"SeAH SPECIAL STEEL CO,. LTD.",D2023070135,028,D23W07W1735,N,2023-07-25,3,9W91,산세,1,"1,461",8100,소형압연,2,S20,SEAM+터짐,제품불량,표면,4,RG,수동연마추가,2023-07-25,B,2023-06-28,2023-06-28,2023-06-28,,\7,\4,\1,\1,A,A,B301,2023-07-20,8100,2023-07-22,28,0,,,0,0,,,0,0,,,0,0,8100,2023-07-22,B,2023-08-07,,,C
