년월일,업무구분,공장구분,HEAT_NO,LOT_NO,PON,공정순위,주조구분,재료코드,강종그룹,강종코드,사내강종명,사내강종명(제강),구)사내강종명,강종,품목,형상,용도,표면,열처리,외경,폭,내경,수요가,수요가명,수주번호,수주행번,생산의뢰번호,강관소재여부,발생일자,발생구분,발생공정,발생공정명,발생수량,발생중량,원인공정,원인공정명,이상구분,이상코드,이상코드명,이상분류,이상구분,상태코드,조치코드,조치코드명,조치일자,원인공정_작업조,출탕완료일시,주조완료일시,검사완료일시,초말구분,CAST내_수,CAST내_순,STRAND_NO,STRAND_SEQ,지시GR_종류,생산GR_종류,생산GR공정,GR_일자,압연공정1,압연일자1,압연외경1,압연폭1,압연공정2,압연일자2,압연외경2,압연폭2,압연공정3,압연일자3,압연외경3,압연폭3,압연공정4,압연일자4,압연외경4,압연폭4,최종압연공정,최종압연일자,제품압연작업조,생성일시,HCR,투입중량,주설비구분
2022-02-24,2,9,S49033,B210699201,D22W2W1281,80,T,6830,SSM,SSM024,316LDS1,316LDS1,S316/316LD,316/316L,W,WR,DM,PK,SL,31,31,,20229,"DONG IL STEEL CO.,LTD.",D2022020128,012,D22W02W0446,N,2022-02-24,3,9W91,산세,1,250,8100,소형압연,2,S20,SEAM+터짐,제품불량,표면,4,JR,폐기,2022-02-24,D,2022-01-30,2022-01-30,2022-01-31,,\7,\7,\2,\3,A,A,8301,2022-02-23,8100,2022-02-24,31,0,,,0,0,,,0,0,,,0,0,8100,2022-02-24,D,2022-03-03,,,C
2022-01-22,2,9,S48478,B1C0610305,D22W1W0996,80,T,6830,SSA,SSA112,STS304S2,STS304S2,S304,SUS304,W,WR,DB,PF,SL,20,20,,S1065,SEAH METAL CO. LTD,D2022010161,003,D22W01W1121,N,2022-01-22,3,9W91,산세,1,"1,388",V000,소형생산실공통,2,S20,SEAM+터짐,제품불량,표면,4,JR,폐기,2022-01-22,,2021-12-06,2021-12-06,2021-12-07,,\2,\1,\3,\10,,,,,8100,2022-01-21,20,0,,,0,0,,,0,0,,,0,0,8100,2022-01-21,A,2022-02-07,,,C
2022-01-26,2,9,S48726,B210302800,D22W1W1354,80,T,6830,SSA,SSA162,STS304SX,STS304SX,S304,304,W,WR,DM,PK,SL,33,33,,S0808,TPLEX.CO.Ltd.,D2022010279,014,D22W01W2216,N,2022-01-26,3,9W91,산세,1,160,8100,소형압연,2,S31,스크래치,제품불량,표면,4,JR,폐기,2022-01-26,C,2022-01-06,2022-01-07,2022-01-07,,\6,\4,,,C,C,8301,2022-01-25,8100,2022-01-26,33,0,,,0,0,,,0,0,,,0,0,8100,2022-01-26,C,2022-02-07,,,C
2022-01-28,2,9,S48773,B210291105,D22W1W1291,80,T,6830,SSM,SSM024,316LDS1,316LDS1,S316/316LD,316/316L,W,WR,DZ,PK,SL,30,30,,S0808,TPLEX.CO.Ltd.,D2022010287,008,D22W01W2301,N,2022-01-28,3,9W91,산세,1,250,8100,소형압연,2,S20,SEAM+터짐,제품불량,표면,4,JR,폐기,2022-01-28,D,2022-01-10,2022-01-10,2022-01-10,,\6,\5,\6,\9,A,A,8301,2022-01-24,8100,2022-01-25,30,0,,,0,0,,,0,0,,,0,0,8100,2022-01-25,D,2022-02-07,,,C
2022-01-20,2,9,S48579,B1C0593205,D22W1W0619,90,T,6830,SSM,SSM024,316LDS1,316LDS1,S316/316LD,316/316L,W,WR,DZ,PF,SL,18,18,,S0556,"SeAH SPECIAL STEEL CO,. LTD.",D2022010207,025,D22W01W1024,N,2022-01-20,3,9W91,산세,1,"1,525",V000,소형생산실공통,2,S20,SEAM+터짐,제품불량,표면,4,JR,폐기,2022-01-20,,2021-12-14,2021-12-14,2021-12-14,,\5,\2,\1,\10,A,A,8301,2022-01-19,8100,2022-01-20,18,0,,,0,0,,,0,0,,,0,0,8100,2022-01-20,C,2022-02-07,,,C
2022-01-19,2,9,S48602,B1C0594301,E22W1W0315,70,T,6830,SSA,SSA162,STS304SX,STS304SX,S304,CSS304SX,W,WR,DM,PK,SL,16,16,,S0058,MENAM STS WIRE LTD,E2022010021,008,E22W01W0272,N,2022-01-19,3,9W91,산세,1,85,9700,산세,2,H14,권취불량,제품불량,형상,4,JR,폐기,2022-01-19,C,2021-12-15,2021-12-15,2021-12-16,,\6,\4,\2,\7,,,,,8100,2022-01-18,16,0,,,0,0,,,0,0,,,0,0,8100,2022-01-18,D,2022-02-07,,,C
2022-01-25,2,9,S48728,B210297606,D22W1W1314,90,T,6830,SSA,SSA162,STS304SX,STS304SX,S304,CSS304FS,W,WR,DM,PF,SL,27,27,,S1065,SEAH METAL CO. LTD,D2022010181,043,D22W01W1098,N,2022-01-25,3,9W91,산세,1,200,V000,소형생산실공통,2,S20,SEAM+터짐,제품불량,표면,4,JR,폐기,2022-01-25,,2022-01-07,2022-01-07,2022-01-07,,\6,\6,\3,\4,A,A,8301,2022-01-23,8100,2022-01-24,27,0,,,0,0,,,0,0,,,0,0,8100,2022-01-24,D,2022-02-07,,,C
2022-01-23,2,9,S48732,B210204103,D22W1W1132,70,T,6830,SSA,SSA162,STS304SX,STS304SX,S304,304,W,WR,DM,PK,SL,20,20,,S0808,TPLEX.CO.Ltd.,D2022010200,001,D22W01W0511,N,2022-01-23,3,9W91,산세,1,160,V000,소형생산실공통,2,S20,SEAM+터짐,제품불량,표면,4,JR,폐기,2022-01-23,,2022-01-07,2022-01-07,2022-01-07,,\4,\3,\4,\3,,,,,8100,2022-01-21,20,0,,,0,0,,,0,0,,,0,0,8100,2022-01-21,A,2022-02-07,,,C
2022-01-25,2,9,S48728,B210298501,E22W1W0430,80,T,6830,SSA,SSA162,STS304SX,STS304SX,S304,CSS304SX,W,WR,DM,PK,SL,27,27,,S0058,MENAM STS WIRE LTD,E2022010113,011,E22W01W0609,N,2022-01-25,3,9W91,산세,1,350,2Z00,2제강,2,S41,줄파임,제품불량,표면,4,JR,폐기,2022-01-25,,2022-01-07,2022-01-07,2022-01-07,,\6,\6,,,C,C,8301,2022-01-23,8100,2022-01-24,27,0,,,0,0,,,0,0,,,0,0,8100,2022-01-24,D,2022-02-07,,,C
2022-01-19,2,9,S48602,B1C0594301,E22W1W0315,70,T,6830,SSA,SSA162,STS304SX,STS304SX,S304,CSS304SX,W,WR,DM,PK,SL,16,16,,S0058,MENAM STS WIRE LTD,E2022010021,008,E22W01W0272,N,2022-01-19,3,9W91,산세,1,85,8100,소형압연,2,H14,권취불량,제품불량,형상,4,JR,폐기,2022-01-19,D,2021-12-15,2021-12-15,2021-12-16,,\6,\4,\2,\7,,,,,8100,2022-01-18,16,0,,,0,0,,,0,0,,,0,0,8100,2022-01-18,D,2022-02-07,,,C
