Company Name,Website,Company Location,Company Type,Most Recent Production
007 Operating LLC,https://www.shalexp.com/007-operating-llc,"Sulphur, OK 73086",Oil & Gas Operator,Jan 2025
10 To 1 Productions Inc,https://www.shalexp.com/10-to-1-productions-inc,"Kansas City, MO 64114-5149",Oil & Gas Operator,Aug 2016
"100 C & H Oil And Gas, LLC",https://www.shalexp.com/100-c-h-oil-and-gas-llc,"San Antonio, TX 78248",Oil Operator,May 2025
101 Energy Corporation,https://www.shalexp.com/101-energy-corporation,"Oklahoma City, OK 73102-4803",Oil & Gas Operator,Feb 2025
"12TH Man Energy, LLC",https://www.shalexp.com/12th-man-energy-llc,"Cat Spring, TX 78933",Oil & Gas Operator,May 2025
14start Energy LLC,https://www.shalexp.com/14start-energy-llc,,Oil & Gas Operator,Jan 2025
14start LLC,https://www.shalexp.com/14start-llc,"Plano, TX 75093",Oil Operator,May 2025
"1776 Energy Operators, LLC",https://www.shalexp.com/1776-energy-operators-llc,"Houston, TX 77070",Oil & Gas Operator,May 2025
"1789 Management, LLC",https://www.shalexp.com/1789-management-llc,"Houston, TX 77024",Gas Operator,May 2025
183 Disposal LLC,https://www.shalexp.com/183-disposal-llc,"Custer City, OK 73639",Oil Operator,Jun 2021
1836 Energy LLC,https://www.shalexp.com/1836-energy-llc,"El Campo, TX 77437",Oil Operator,May 2025
"1836 Resources, LLC",https://www.shalexp.com/1836-resources-llc,"Houston, TX 77070",Oil & Gas Operator,Aug 2019
"1849 Energy Partners Oprtng, LLC",https://www.shalexp.com/1849-energy-partners-oprtng-llc,"Fort Worth, TX 76107",Oil & Gas Operator,Feb 2022
1859 Operating LLC,https://www.shalexp.com/1859-operating-llc,"Dripping SPGS, TX 78620",Oil Operator,May 2025
1876 Resources LLC,https://www.shalexp.com/1876-resources-llc,"Highlands Ranch, CO 80129",Oil & Gas Operator,Mar 2025
"1894 Petroleum Partners, LLC",https://www.shalexp.com/1894-petroleum-partners-llc,"Odessa, TX 79765",Oil & Gas Operator,May 2025
"1920 Energy, LLC",https://www.shalexp.com/1920-energy-llc,"Allen, TX 75013",Oil & Gas Operator,May 2025
1978 Investments LLC,https://www.shalexp.com/1978-investments-llc,"Cushing, OK 74023",Oil & Gas Operator,Feb 2025
"19TH Hole Production, LLC",https://www.shalexp.com/19th-hole-production-llc,"Humble, TX 77346",Oil & Gas Operator,May 2025
1ST NRG Wyoming Inc,https://www.shalexp.com/1st-nrg-wyoming-inc,"Lone Tree, CO 80124",Gas Operator,Sep 2024
2 D Oil & Gas LLC,https://www.shalexp.com/2-d-oil-gas-llc,"Refugio, TX 78377",Oil & Gas Operator,May 2025
2 S Operating,https://www.shalexp.com/2-s-operating,"Iowa Park, TX 76367",Oil Operator,Sep 2018
2 T Production,https://www.shalexp.com/2-t-production,"Bowie, TX 76230",Oil & Gas Operator,May 2025
2 W Petroleum,https://www.shalexp.com/2-w-petroleum,"Brownwood, TX 76804",Oil & Gas Operator,May 2025
2-J Operating,https://www.shalexp.com/2-j-operating,"Iowa Park, TX 76367",Oil Operator,Dec 2004
2-K Operating,https://www.shalexp.com/2-k-operating,"Corsicana, TX 75109",Oil & Gas Operator,Mar 2023
20TH Century Pipe & Equip.Co.Inc,https://www.shalexp.com/20th-century-pipe-equip-co-inc,"Midland, TX 79702",Oil & Gas Operator,Aug 2003
212 Operating Inc,https://www.shalexp.com/212-operating-inc,"Byron, OK 73722-9528",Oil & Gas Operator,Jan 2016
21ST Century Investment Co,https://www.shalexp.com/21st-century-investment-co,"Tulsa, OK 74114-4220",Oil & Gas Operator,Jan 2025
21ST Century Investment Corp,https://www.shalexp.com/21st-century-investment-corp,"Tulsa, OK 74114",Oil & Gas Operator,Apr 2000
21ST Century Oil Operations,https://www.shalexp.com/21st-century-oil-operations,"Gorham, KS 67647",Oil Operator,Dec 2001
25 Hill Properties Inc.,https://www.shalexp.com/25-hill-properties-inc,,Oil Operator,Feb 2025
260 Resource Management LLC,https://www.shalexp.com/260-resource-management-llc,,Gas Operator,Feb 2025
"2622 Holdings, LLC",https://www.shalexp.com/2622-holdings-llc,"Midland, TX 79705",Oil Operator,May 2025
"27:17 Enterprises, LLC",https://www.shalexp.com/27-17-enterprises-llc,"Seminole, TX 79360",Oil Operator,May 2025
"299 Production, LLC",https://www.shalexp.com/299-production-llc,"Judson, TX 75660",Oil & Gas Operator,Nov 2016
"2C Oil And Gas, LLC",https://www.shalexp.com/2c-oil-and-gas-llc,"Arp, TX 75750",Oil Operator,May 2025
"2C Oil, LLC",https://www.shalexp.com/2c-oil-llc,"Benicia, CA 94510",Oil Operator,May 2025
2MC Consulting LLC,https://www.shalexp.com/2mc-consulting-llc,"San Angelo, TX 76901",Oil Operator,May 2025
"2R Oil, LLC",https://www.shalexp.com/2r-oil-llc,"Sedan, KS 67361",Oil Operator,Jan 2025
2S Resources LLC,https://www.shalexp.com/2s-resources-llc,"Boerne, TX 78006",Oil & Gas Operator,May 2025
3 $ Oil Company,https://www.shalexp.com/3-oil-company,"Lubbock, TX 79413",Oil Operator,Dec 1997
3 & 1 Operating Inc,https://www.shalexp.com/3-1-operating-inc,,Oil & Gas Operator,Aug 2015
3 Amigos Oil Co.,https://www.shalexp.com/3-amigos-oil-co,"Odessa, TX 79766",Oil & Gas Operator,May 2025
"3 B Energy, Inc.",https://www.shalexp.com/3-b-energy-inc,"Neodesha, KS 66757",Oil & Gas Operator,Dec 2012
"3 B Enterprises, Inc.",https://www.shalexp.com/3-b-enterprises-inc,"Gordon, TX 76453",Oil & Gas Operator,May 2025
3 BC Co Inc,https://www.shalexp.com/3-bc-co-inc,"Cushing, OK 74023-1268",Oil & Gas Operator,Mar 2022
3 G Oil Co.,https://www.shalexp.com/3-g-oil-co,,Oil Operator,Jan 2025
3 H Operating Company LLC,https://www.shalexp.com/3-h-operating-company-llc,"Walters, OK 73572-3897",Oil Operator,Jan 2025
3 Knights Operating LLC,https://www.shalexp.com/3-knights-operating-llc,"Lubbock, TX 79424",Oil Operator,Mar 2025
3 M Drilling,https://www.shalexp.com/3-m-drilling,"MT Hope, OH 44660",Oil & Gas Operator,Dec 1993
"3 S Production, Inc.",https://www.shalexp.com/3-s-production-inc,"Cisco, TX 76437",Oil & Gas Operator,May 2025
3 W Investments LLC,https://www.shalexp.com/3-w-investments-llc,"San Antonio, TX 78217",Oil & Gas Operator,May 2025
"3 Wells, LLC",https://www.shalexp.com/3-wells-llc,"Mayville, NY 14757",Gas Operator,Dec 2023
3-C,https://www.shalexp.com/3-c,"Olney, TX 76374",Oil & Gas Operator,Mar 2008
"3-C Oil Company, Inc.",https://www.shalexp.com/3-c-oil-company-inc,"Luling, TX 78648",Oil & Gas Operator,Nov 2002
3-D Oil & Gas,https://www.shalexp.com/3-d-oil-gas,"Winters, TX 79567",Oil & Gas Operator,May 2025
"3-D Oil Company, A General Partnership",https://www.shalexp.com/3-d-oil-company-a-general-partnership,"Dewey, OK 74029",Oil Operator,Nov 2017
3-L Drilling,https://www.shalexp.com/3-l-drilling,"Abilene, TX 79605",Oil & Gas Operator,May 2025
3-M Energy Corporation,https://www.shalexp.com/3-m-energy-corporation,"San Angelo, TX 76902",Oil & Gas Operator,Jun 2017
"3-R Production, Inc.",https://www.shalexp.com/3-r-production-inc,"Jacksboro, TX 76458",Oil & Gas Operator,May 2025
"3-T Exploration, Inc.",https://www.shalexp.com/3-t-exploration-inc,"Wichita Falls, TX 76308",Oil & Gas Operator,May 2025
3-T Oil,https://www.shalexp.com/3-t-oil,,Oil Operator,Dec 1996
306 Oil Investment Co Inc,https://www.shalexp.com/306-oil-investment-co-inc,"Fort Worth, TX 76102",Oil & Gas Operator,Mar 2005
31 Operating,https://www.shalexp.com/31-operating,,Oil & Gas Operator,Jul 2022
31 Operating LLC,https://www.shalexp.com/31-operating-llc,"Kilgore, TX 75663",Oil & Gas Operator,May 2025
314 Operating,https://www.shalexp.com/314-operating,"Rotan, TX 79546",Oil Operator,May 2025
"324 Oil & Gas, LTD.",https://www.shalexp.com/324-oil-gas-ltd,"Sugar Land, TX 77479",Oil & Gas Operator,Jun 2023
324 Ranch Oil,https://www.shalexp.com/324-ranch-oil,"Goliad, TX 77963",Oil & Gas Operator,Jun 2004
333 Dick Road LLC,https://www.shalexp.com/333-dick-road-llc,"Clarence, NY 14031",Gas Operator,Dec 2023
"338 Oil & Gas, Inc.",https://www.shalexp.com/338-oil-gas-inc,"Devine, TX 78016",Oil Operator,Feb 2021
"360 Mining, Inc.",https://www.shalexp.com/360-mining-inc,"Austin, TX 78701",Gas Operator,May 2025
"375 Energy, Inc.",https://www.shalexp.com/375-energy-inc,"Houston, TX 77002",Oil & Gas Operator,Jul 2013
"38 Oil & Gas, L.L.C.",https://www.shalexp.com/38-oil-gas-l-l-c,"Fullerton, CA 92834",Oil & Gas Operator,May 2025
"39 Crude, L.C.",https://www.shalexp.com/39-crude-l-c,"Houston, TX 77002",Oil & Gas Operator,Mar 2008
3B Ranch,https://www.shalexp.com/3b-ranch,"Houston, TX 77035",Oil Operator,May 2025
"3D Oil Company, LLC",https://www.shalexp.com/3d-oil-company-llc,"Corpus Chrsti, TX 78406",Oil & Gas Operator,May 2025
3fearns LLC,https://www.shalexp.com/3fearns-llc,"Tulsa, OK 74137",Oil & Gas Operator,Feb 2025
"3G Production, LLC",https://www.shalexp.com/3g-production-llc,"Pratt, KS 67124",Oil & Gas Operator,Jan 2025
"3HP, Inc.",https://www.shalexp.com/3hp-inc,"Brownwood, TX 76804",Oil & Gas Operator,May 2016
3M Production Inc,https://www.shalexp.com/3m-production-inc,"Guthrie, OK 73044-1246",Oil & Gas Operator,Mar 2025
3MB Oil & Gas LLC,https://www.shalexp.com/3mb-oil-gas-llc,"Irvine, CA 92616",Oil & Gas Operator,Mar 2025
3P Operations LLC,https://www.shalexp.com/3p-operations-llc,"Hartford, KY 42347",Oil Operator,Dec 2018
3R Oil Corporation,https://www.shalexp.com/3r-oil-corporation,"Healdton, OK 73438-0306",Oil Operator,Apr 2022
