회사명,카테고리,설명,링크,설명상세,지역,홈페이지
10Adventures,TRAVEL & HOSPITALITY,"Book personalized and custom vacations for about the cost of joining a group tour, find active and adventure tours in over 80 countries at 10Adventures",https://www.plugandplaytechcenter.com/startup/10adventures-com,"""10Adventures is a leading travel and hospitality company offering personalized and custom active vacations in over 80 countries. With a proprietary tour platform and booking engine, 10Adventures provides customers with private active travel experiences at a cost comparable to group tours. The company has established partnerships with tour suppliers in 85 countries and serves travelers from 30 countries, with a strong presence in the US, UK, Australia, and Canada. 10Adventures caters to a diverse customer base, including local tour operators seeking to expand their B2C business and travelers aged 45 to 75 who prioritize health, experiences, and meaningful adventures. By offering unique and tailored vacation options, 10Adventures is reshaping the travel industry and providing individuals with the opportunity to explore the world through active pursuits.""","Vienna, Austria",https://www.10adventures.com/
1Health.io,HEALTH,Build engaging health and wellness applications quickly.,https://www.plugandplaytechcenter.com/startup/1health-io,"""1Health.io is a cutting-edge health technology company dedicated to enabling the rapid development of engaging health and wellness applications. With a team of AI engineers, data experts, and UX designers, 1Health.io offers a modern platform designed to streamline the creation of data-driven health and wellness products. The company's mission is to provide customers with a more interactive and personalized experience in managing their health and well-being. By leveraging innovative technologies and user-centric design, 1Health.io empowers businesses to deliver comprehensive and engaging solutions that cater to the evolving needs of their users.""","Silicon Valley, California",http://1health.io/
2electron,MOBILITY,"2electron is an engineering company. Core mission: providing Innovation and high-tech engineering services, E-Mobility device/system development, turn-key projects for the automotive sector.",https://www.plugandplaytechcenter.com/startup/2electron-com,"""2electron is an engineering company focused on providing innovative high-tech engineering services and developing E-Mobility devices and systems for the automotive sector. With a core mission centered around enhancing the user experience in future automotive technologies, 2electron aims to make electric vehicles more engaging and enjoyable to drive. Their patented McFly technology revolutionizes driving interactions by simulating traditional driving sensations like sounds, vibrations, and gear-shifting in electric vehicles. This innovation opens up a wide range of possibilities for creating unique and branded user experiences, addressing a key challenge in the future of sustainable mobility. 2electron's commitment to innovation and cutting-edge engineering positions them as a key player in shaping the future of E-Mobility and automotive technology.""","Modena, Italy",http://2electron.com/
2MR Labs,CRYPTO & DIGITAL ASSETS,We empower businesses and build communities through Web3 technology.,https://www.plugandplaytechcenter.com/startup/2mrlabs-com,"""2MR Labs is Southeast Asia's pioneering Web3 launchpad, dedicated to empowering businesses and fostering communities through innovative technology. By bridging real-world utilities with blockchain technology, 2MR Labs facilitates the mass adoption of Web3, making it accessible and beneficial for all. Specializing in assisting traditional non-crypto native brands and communities, 2MR Labs explores the endless possibilities of Web3 technology, including gamified retail experiences, loyalty programs, and community management. With a focus on community development, utility building, and revenue-driven strategies, 2MR Labs is at the forefront of revolutionizing the digital landscape and enhancing user experiences through Web3 technology.""","Jakarta, Indonesia",https://2mrlabs.com/
2trde,MOBILITY,Driving Vehicle Profit,https://www.plugandplaytechcenter.com/startup/2trde-com,"""2trde is a pioneering mobility company focused on driving vehicle profit through the acceleration and facilitation of B2B used car sales. By collaborating with various sellers such as manufacturers, leasing companies, banks, and dealerships, 2trde streamlines the process of selling pre-owned cars on multiple car trading platforms. Recognizing the challenges faced by fleet companies in publishing their vehicles on B2B auction platforms, 2trde has developed an AI-driven trading platform. This innovative solution not only simplifies the process for sellers to list their cars on multiple platforms with higher quality but also enhances the efficiency of the platforms by providing better and more consistent services. 2trde's commitment to revolutionizing the B2B car trading industry showcases its dedication to innovation and efficiency in the mobility sector.""","Munich, Germany",https://www.2trde.com/
360VUZ,FINTECH,360VUZ is the pioneer LIVE 360 Mobile App in Teleporting people in time.,https://www.plugandplaytechcenter.com/startup/360vuz-com,"""360VUZ is a pioneering company in the fields of brand & retail, deeptech, fintech, mobility, and real estate & construction, offering the first LIVE 360 Mobile App designed to teleport people in time. With a vision to enable millions of individuals to experience top global events and destinations at their convenience, 360VUZ empowers users to choose what, how, and when they want to see, eliminating the constraints of travel, time, and access. Driven by a commitment to rapid innovation and bold initiatives, 360VUZ is dedicated to revolutionizing the virtual reality experience for sports, events, and various immersive experiences. Through its online platform, the company provides live video streaming services, allowing users to immerse themselves in a wide range of virtual reality content.""","Silicon Valley, California",http://www.360vuz.com/
4tiitoo,ENERGY,NUIA Eye Control: Higher productivity + healthier and more convenient work in service centers,https://www.plugandplaytechcenter.com/startup/4tiitoo-com,"""4tiitoo is the market leader in Intelligent Workplaces powered by Eye Control and AI, based in Munich. By addressing the inefficiencies and health concerns associated with traditional computer interfaces, 4tiitoo's NUIA Eye Control revolutionizes daily work routines. Through eye control technology and automation of common tasks like copy&paste and scrolling, NUIA significantly boosts productivity, enhances workplace ergonomics, and improves user comfort. With a focus on contact/support centers and various business services, NUIA Eye Control has become an essential tool in modern digital workplaces across industries. Notable clients include SAP, Deutsche Telekom, and E.ON, highlighting the widespread adoption and impact of 4tiitoo's innovative solution.""","Silicon Valley, California",http://www.4tiitoo.com/
6d Bytes,BRAND & RETAIL,6D Bytes builds robotics systems to prepare and serve fresh & delicious meals.,https://www.plugandplaytechcenter.com/startup/6dbytes-com,"""6d Bytes is a deeptech startup specializing in robotics systems for the food and beverage industry. Our innovative robotic kiosk is designed to revolutionize the on-the-go food experience by preparing and dispensing personalized, fresh meals on demand. The initial focus is on fresh smoothies, crafted by a robot using high-quality ingredients, with the potential to expand to a variety of solid and beverage menu items without the need for kiosk redesign. With a vision to enhance existing services in cafeterias, Quick Service Restaurants (QSRs), and shopping malls, our solution offers seamless daily servicing. We have garnered interest from cafeteria management companies and QSR providers, with support from industry executives turned angel investors. 6d Bytes aims to redefine convenience and quality in food preparation, capturing the imagination of both consumers and industry professionals.""","Silicon Valley, California",http://www.6dbytes.com/
7Analytics,SUSTAINABILITY,"7A combines strong geoscientific expertise with advanced technology to predict flooding with high granularity – enabling insurance companies to optimize pricing models based on actual climate risk for individual buildings, optimizing their strategies in the face of climate uncertainties.",https://www.plugandplaytechcenter.com/startup/7analytics-no,"""7Analytics is a pioneering company in the fields of Insurtech, Real Estate & Construction, Smart Cities, and Sustainability. Combining extensive geoscientific expertise with advanced technology, 7A specializes in predicting flooding with high granularity. By leveraging over 100 years of experience in O&G fluid dynamic modeling, the team brings subsurface knowledge to the surface, offering a fresh perspective on flood risk assessment. Through the integration of geoscientific knowledge and AI models, 7A develops probability models for flood risk, analyzing over 200 physical parameters down to each building. By utilizing AI models trained on historical flood claims, the company provides insurance companies with accurate and reliable flood risk data. This enables insurers to optimize pricing models based on actual climate risk for individual buildings, enhancing their strategies in the face of climate uncertainties.""","Silicon Valley, California",https://www.7analytics.no/
A*Quantum,MOBILITY,"Quantum computing to derive a single definite answer without the use of statistics for transportation, logistics, retail and other sectors.",https://www.plugandplaytechcenter.com/startup/a-star-quantum-jp,"""A*Quantum is a pioneering company at the forefront of quantum computing technology, offering solutions for transportation, logistics, retail, and other sectors. Utilizing the power of quantum computing, A*Quantum aims to provide faster and more efficient solutions to complex problems that are currently challenging for classical computers. By significantly reducing power consumption and costs, quantum computing has the potential to revolutionize various industries. A*Quantum specializes in developing annealing quantum computing software tailored for the transportation, logistics, and media sectors. Their mission is to make quantum computing accessible to all, enabling businesses to derive precise answers without relying on statistical methods. With a focus on innovation and efficiency, A*Quantum is driving advancements in quantum computing for the benefit of multiple industries.""","Silicon Valley, California",http://a-star-quantum.jp/
