회사명,카테고리,설명,링크
10Adventures,TRAVEL & HOSPITALITY,"Book personalized and custom vacations for about the cost of joining a group tour, find active and adventure tours in over 80 countries at 10Adventures",https://www.plugandplaytechcenter.com/startup/10adventures-com
1Health.io,HEALTH,Build engaging health and wellness applications quickly.,https://www.plugandplaytechcenter.com/startup/1health-io
2electron,MOBILITY,"2electron is an engineering company. Core mission: providing Innovation and high-tech engineering services, E-Mobility device/system development, turn-key projects for the automotive sector.",https://www.plugandplaytechcenter.com/startup/2electron-com
2MR Labs,CRYPTO & DIGITAL ASSETS,We empower businesses and build communities through Web3 technology.,https://www.plugandplaytechcenter.com/startup/2mrlabs-com
2trde,MOBILITY,Driving Vehicle Profit,https://www.plugandplaytechcenter.com/startup/2trde-com
360VUZ,FINTECH,360VUZ is the pioneer LIVE 360 Mobile App in Teleporting people in time.,https://www.plugandplaytechcenter.com/startup/360vuz-com
4tiitoo,ENERGY,NUIA Eye Control: Higher productivity + healthier and more convenient work in service centers,https://www.plugandplaytechcenter.com/startup/4tiitoo-com
6d Bytes,BRAND & RETAIL,6D Bytes builds robotics systems to prepare and serve fresh & delicious meals.,https://www.plugandplaytechcenter.com/startup/6dbytes-com
7Analytics,SUSTAINABILITY,"7A combines strong geoscientific expertise with advanced technology to predict flooding with high granularity – enabling insurance companies to optimize pricing models based on actual climate risk for individual buildings, optimizing their strategies in the face of climate uncertainties.",https://www.plugandplaytechcenter.com/startup/7analytics-no
A*Quantum,MOBILITY,"Quantum computing to derive a single definite answer without the use of statistics for transportation, logistics, retail and other sectors.",https://www.plugandplaytechcenter.com/startup/a-star-quantum-jp
Aanika Biosciences,FOOD & BEVERAGE,"Aanika Biosciences leverages the power of biotechnology to track, trace and authenticate products throughout supply chains.",https://www.plugandplaytechcenter.com/startup/aanikabio-com
Aaron.ai,HEALTH,Aaron is the Doctor Assistant powered by conversational AI,https://www.plugandplaytechcenter.com/startup/aaron-ai
ABAzyne,FOOD & BEVERAGE,ABAzyne is a Canadian agriculture bioscience company that develops leading patented synthetic Abscisic Acid (ABA).analogs for plant growth regulation applications.,https://www.plugandplaytechcenter.com/startup/abazyne-com
Abos Labs,BRAND & RETAIL,Abos Labs Inc is a digital applications developer for web based video media solutions provider.,https://www.plugandplaytechcenter.com/startup/aboslabs-com
about:energy,MOBILITY,About:Energy provides the tools that enable electrification,https://www.plugandplaytechcenter.com/startup/aboutenergy-co-uk
Abstract,BRAND & RETAIL,Abstract is a software-as-a-service company that is developing a next-generation tool for experts to influence politics and policy.,https://www.plugandplaytechcenter.com/startup/abstract-us
Acai Travel Inc.,TRAVEL & HOSPITALITY,"Unleashing the full potential of travel operations with AI-powered automation, for faster and leaner customer service",https://www.plugandplaytechcenter.com/startup/acaitravel-com
Accend,FINTECH,Accend helps Fintech Ops & Compliance teams to accelerate KYB manual reviews,https://www.plugandplaytechcenter.com/startup/withaccend-com
Accern,FINTECH,The Accern NoCodeNLP Platform empowers citizen data scientists to extract fast and easy insights from unstructured data.,https://www.plugandplaytechcenter.com/startup/accern-com
Ace AI,INSURTECH,Data Infrastructure for ML,https://www.plugandplaytechcenter.com/startup/aceaicompany-com
Acerta,ENERGY,Acerta is a software company that delivers machine learning technology to the manufacturing and automotive industries.,https://www.plugandplaytechcenter.com/startup/acerta-ca
Acre Rewards,FINTECH,"Acre is on a mission to make every home more affordable and rewarding. Led by a world class team of repeat founders and fintech operators from Uber, Amex, Red Ventures, Capital One, Zillow, and LendingTree, they are creating the mortgage rewards category.",https://www.plugandplaytechcenter.com/startup/acrerewards-com
Actvcontent,FOOD & BEVERAGE,"Improve quality, visibility and streamline communication through industrial workflow automation.",https://www.plugandplaytechcenter.com/startup/actvcontent-com
Acus,MOBILITY,Hgh quality reusable moulds for unique value composites manufacturering.,https://www.plugandplaytechcenter.com/startup/acuscomposites-com
Acuvity,ENTERPRISE & AI,AI Security and governance platform for employees and applications.,https://www.plugandplaytechcenter.com/startup/acuvity-ai
ADAPT,ENERGY,Lead the empowerment of organizations to achieve their transportation-related sustainability and business goals.,https://www.plugandplaytechcenter.com/startup/adaptusnow-com
Adept materials,NEW MATERIALS & PACKAGING,Climate-regulating materials for sustainable buildings,https://www.plugandplaytechcenter.com/startup/adeptmaterials-com
AdeptDC,ENTERPRISE & AI,AdeptDC offers autonomous time series analytics platform for microservices monitoring.,https://www.plugandplaytechcenter.com/startup/adeptdc-com
Adrich,FOOD & BEVERAGE,Adrich helps brands and retailers get the right product to the right customer at the right time through a smart packaging and post-sales data analytics platform.,https://www.plugandplaytechcenter.com/startup/adrich-io
AdsGency AI,MEDIA & ADVERTISING,All In One Ads Services with the power of AGI to boost your ROIs by 10X better,https://www.plugandplaytechcenter.com/startup/adsgency-ai
Advanced Symbolics,BRAND & RETAIL,"Proudly disrupting traditional market research, polling, and behavioural research.",https://www.plugandplaytechcenter.com/startup/advancedsymbolics-com
Advent Diamond,SMART CITIES,Advent Diamond offers radiation detectors and electronic components using diamond as a semiconductor.,https://www.plugandplaytechcenter.com/startup/adventdiamond-com
Adventure Bucket List,TRAVEL & HOSPITALITY,Adventure Bucket List is a SaaS and e-commerce empowering adventure venders.,https://www.plugandplaytechcenter.com/startup/adventurebucketlist-com
Advex AI,SMART CITIES,Generative AI to unlock reliable computer vision.,https://www.plugandplaytechcenter.com/startup/advex-ai
